tag,stemtag,survey.ID,exactdate,biannual,intraannual,sp,quadrat,gx,gy,measure,codes,status,notes,location,field recorders,data enter,stemID,treeID,date,dendDiam,dbh,dendroID,type,dir,dendHt,crown,illum,lianas,measureID
10469,1,2018.01,3/9/2018,1,0,litu,109,9.699999809,161,103.98,,alive,,South,Michael Scott,Ryan Helcoski,1419,1419,,,838.8,,2,,1.4,4,4,,
10587,1,2018.01,3/9/2018,1,0,litu,113,2.599999905,253,144.85,,alive,,South,Michael Scott,Ryan Helcoski,1526,1526,,,965,,2,,1.38,4,4,,
10609,1,2018.01,3/9/2018,1,0,cagl,111,19.5,202.8999939,66.7,,alive,,South,Michael Scott,Ryan Helcoski,1548,1548,,,439,,2,,1.39,3,5,,
10671,1,2018.01,3/9/2018,1,1,quru,114,6.199999809,274.5,10.4,,alive,,South,Michael Scott,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.02,4/6/2018,1,1,quru,114,6.199999809,274.5,9.63,,alive,,South,Ryan Helcoski,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.03,4/26/2018,1,1,quru,114,6.199999809,274.5,12.74,,alive,,South,Ryan Helcoski,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.04,5/15/2018,1,1,quru,114,6.199999809,274.5,15.56,,alive,,South,Ryan Helcoski,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.05,5/29/2018,1,1,quru,114,6.199999809,274.5,17.53,,alive,,South,Ryan Helcoski,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.06,6/14/2018,1,1,quru,114,6.199999809,274.5,20.32,,alive,,South,Ryan Helcoski,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.07,6/29/2018,1,1,quru,114,6.199999809,274.5,22.11,,alive,,South,Alyssa Terrell,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.08,7/12/2018,1,1,quru,114,6.199999809,274.5,22.48,,alive,,South,Alyssa Terrell,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.09,7/26/2018,1,1,quru,114,6.199999809,274.5,25.34,,alive,,South,Ryan Helcoski,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.1,8/9/2018,1,1,quru,114,6.199999809,274.5,25.34,,alive,,South,Ryan Helcoski,Ryan Helcoski,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.11,8/23/2018,1,1,quru,114,6.199999809,274.5,25.79,,alive,,South,Ryan Helcoski,Ian McGregor,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.12,9/28/2018,1,1,quru,114,6.199999809,274.5,28.72,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,1609,1609,,,851,,2,,1.32,4,4,,
10671,1,2018.13,10/18/2018,1,1,quru,114,6.199999809,274.5,29.25,,alive,,South,"Alyssa Terrall, Ian McGregor",Ian McGregor,1609,1609,,,851,,2,,1.32,4,4,,
12025,1,2018.01,3/9/2018,1,1,quru,117,5,336.2999878,149.99,,alive,,North,Ryan Helcoski,Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.02,4/6/2018,1,1,quru,117,5,336.2999878,148,,alive,,North,Ryan Helcoski,Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.03,4/26/2018,1,1,quru,117,5,336.2999878,151.54,,alive,,North,Tim McNeil,Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.04,5/15/2018,1,1,quru,117,5,336.2999878,153.64,,alive,,North,Ryan Helcoski,Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.05,5/29/2018,1,1,quru,117,5,336.2999878,157.06,,alive,,North,Ryan Helcoski,Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.06,6/14/2018,1,1,quru,117,5,336.2999878,8.55,,alive,replaced 6/12; need replace from 9/28,North,Maya Prestipino,Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.07,6/29/2018,1,1,quru,117,5,336.2999878,10.89,,alive,,North,Maya Prestipino,Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.08,7/12/2018,1,1,quru,117,5,336.2999878,11.02,,alive,,North,Maya Prestipino,Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
12025,1,2018.09,7/26/2018,1,1,quru,117,5,336.2999878,15.26,,alive,,North,Mario Morales,Ryan Helcoski,1713,1713,,,832.5,,2,,1.3,3,4,,
