tag ,stemtag,2010.yr,2011.spring,2011.fall,2012.spring\,2012.fall,2013.spring,2013.fall,2014.spring,2014.fall,2015.spring,2015.fall,2016.spring,2016.fall,2017.spring,2017.fall,2018.spring
10469,1,1,1,1,1,1,1,1,1,1,632,632,632,632,632,632,632
10587,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10609,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10671,1,4,4,4,533,533,533,533,533,533,533,533,533,695,695,750,750
12025,1,NA,244,244,244,244,244,244,244,244,244,244,244,244,244,244,830
12101,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12259,1,6,6,6,6,6,592,592,592,592,659,659,659,659,659,659,659
12270,1,7,7,7,7,7,7,7,7,7,633,633,633,633,633,633,633
12308,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
12508,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20432,1,10,10,10,10,10,10,10,10,10,10,10,10,696,696,696,696
20587,1,11,11,11,11,11,11,11,11,11,634,634,634,634,634,634,634
20603,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
20617,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,782
20712,1,14,14,14,14,14,14,14,14,14,14,14,14,14,725,725,725
22004,2,NA,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
22041,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,751,751
22170,1,16,16,16,16,16,16,16,16,16,16,16,16,697,697,697,697
22333,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
30039,1,18,18,18,18,18,18,18,18,18,18,18,18,698,698,698,698
30225,1,NA,NA,NA,NA,NA,543,543,543,543,543,543,543,543,543,543,543
30233,1,19,19,19,19,19,627,627,627,627,627,627,627,627,627,627,627
30234,1,NA,NA,NA,NA,NA,544,544,544,544,544,544,544,544,544,544,544
30331,1,NA,NA,NA,NA,NA,545,545,545,545,545,545,545,545,545,545,545
30333,1,NA,NA,NA,NA,NA,546,546,546,546,546,546,546,546,726,726,726
30339,1,NA,NA,NA,NA,NA,547,547,547,547,547,547,547,547,547,547,547
30339,2,NA,NA,NA,NA,NA,548,548,548,548,548,548,548,548,548,752,752
30339,3,NA,NA,NA,NA,NA,549,549,549,549,549,549,549,549,549,549,549
30343,1,NA,NA,NA,NA,NA,550,550,550,550,550,550,550,550,550,550,550
30365,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,799
30462,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
30467,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
30512,1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,831
30584,1,24,24,24,24,24,24,24,24,24,24,24,688,688,688,688,688
32084,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
32097,1,26,26,26,26,26,593,593,593,593,593,593,593,593,593,593,593
32126,1,27,27,27,27,27,27,27,27,27,27,27,27,699,699,753,753
