tag,stemtag,species,dbh.2008,dbh.2013,quadrat,lx,ly,codes,dendrometer.height,Nail.height,dendro.diameter.2011,5/9/2011,5/13/2011,5/16/2011,5/24/2011,6/6/2011,6/13/2011,6/20/2011,6/27/2011,7/5/2011,7/11/2011,7/18/2011,7/25/2011,8/1/2011,8/8/2011,8/22/2011,9/6/2011,9/19/2011,10/5/2011,10/16/2011,11/1/2011,11/17/2011,Notes 2011,,4/11/2012,4/25/2012,5/8/2012,5/22/2012,6/5/2012,6/19/2012,7/2/2012,7/16/2012,7/30/2012,8/14/2012,8/28/2012,9/10/2012,9/24/2012,10/9/2012,10/23/2012,11/26/2012,Notes 2012,,DBH_mm (March 2013),4/8/2013,4/23/2013,5/6/2013,5/20/2013,6/3/2013,6/17/2013,7/1/2013,7/15/2013,7/29/2013,8/12/2013,8/26/2013,9/9/2013,9/23/2013,10/9/2013,Notes 2013,,3/24/2014,4/14/2014,5/1/2014,5/13/2014,5/27/2014,6/10/2014,6/23/2014,7/7/2014,7/21/2014,8/4/2014,8/18/2014,9/2/2014,9/15/2014,10/27/2014,Notes 2014,,3/22/2015,4/23/2015,5/7/2015,5/19/2015,6/3/2015,6/16/2015,7/1/2015,7/14/2015,7/28/2015,8/11/2015,8/25/2015,9/16/2015,Notes in 2015,,4/6/2016,5/12/2016,5/26/2016,6/9/2016,6/23/2016,7/7/2016,7/21/2016,8/4/2016,8/18/2016,9/1/2016,9/13/2016,9/29/2016,10/13/2016,10/27/2016,Notes in 2016,,4/18/2017,5/18/2017,6/2/2017,6/21/2017,6/30/2017,7/13/2017,7/31/2017,8/10/2017,8/17/2017,9/11/2017,9/21/2017,11/16/2017,Notes in 2017,,3/9/2018,4/6/2018,4/26/2018,5/15/2018,5/29/2018,6/14/2018,6/29/2018,7/12/2018,7/26/2018,8/9/2018,8/23/2018,notes 2018,location 2
10671,1,quru,823.5,851,114,6.2,14.5,,1.32,1.28,839.5,64.93,65.84,66.02,66.41,67.19,68.28,71.03,69.93,69.98,71.49,68.19,71.58,72.57,73.03,73.05,40.33,74.53,73.97,74.35,74.44,74.8,,,22.17,23.01,23.59,24.85,25.91,26.65,38.73,39.12,31.46,31.54,32.16,33.3,33.73,34.78,34.79,33.95,,,849.8,33.3,33.87,34.52,36.04,37.92,40.11,41.39,43.1,43.92,44.78,45.22,45.47,45.49,45.42,,,45.38,45.83,48.97,49.41,51.75,53.27,56.16,56.36,61.92,62.74,62.49,63.1,62.79,63.23,,,62.9,64.4,66.09,68.03,69.9,71.07,73.52,75.07,76.23,77.63,77.74,78.53,,,8.63,10.58,12.74,13.53,14.69,15.55,15.88,17.09,17.76,20.51,20.82,22.14,21.53,21.06,band adj. 10/13,,21.44,24.57,25.7,27.99,28.92,NA,9.02,9,9.41,10.73,10.34,10.26,"replaced, 7/27",,10.4,9.63,12.74,15.56,17.53,20.32,22.11,22.48,25.34,25.34,25.79,,South
12025,1,quru,798.1,832.5,117,15,16.3,,1.3,1.3,824,18.31,19.53,20.94,21.63,23.02,23.71,23.68,24.8,24.65,27.45,27.38,27.3,27.48,27.68,27.86,27,27.64,27.69,27.61,30.32,29.19,,,29.6,31.99,32.14,33.03,34.54,35.33,38.39,39.28,40.6,41.46,41.77,42.03,42.4,43.85,43.17,42.6,,,827,42.96,44.54,45.76,47.7,50.15,51.54,52.25,54.48,54.92,61.48,64.4,64.98,61.4,61.48,,,58.71,59.85,66.44,66.88,67.85,70.48,71.74,74.22,76.32,77.43,78.29,79.95,80.03,82.38,,,82.52,83.4,84.92,87.25,89.87,91.45,94.77,98.74,99.86,101.28,101.65,102.43,,,103.87,110.49,111.76,114.72,116.73,119.08,120.24,121.47,122.71,122.99,123.05,123.99,124.08,124.05,,,126.5,131.87,134.65,138.2,138.83,140.31,140.84,143.8,NA,148.57,147.3,149.29,,,149.99,148,151.54,153.64,157.06,8.55,10.89,11.02,15.26,15.42,15.92,replaced 6/12,North
30225,1,qual,301,301,306,20,3.1,,1.42,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,5.39,5.11,5.15,5.32,5.41,5.56,5.63,5.76,5.77,6.06,From sap flow cluster. DBH 2013,,5.16,5.22,6.24,6.25,7.02,9.13,9.26,9.1,9.02,9.13,9.87,9.56,9.65,9.89,From sap flow cluster,,9.26,9.86,10.39,10.96,13.92,12.48,13.44,13.42,13.57,13.4,13.55,13.69,,,13.28,14.92,14.89,15.04,15.99,17.08,16.31,16.71,16.79,16.99,16.14,16.83,17.05,16.87,,,17.27,18.77,18.97,19.15,19.7,20.2,20.45,20.51,20.73,20.93,20.99,20.95,,,21.81,21.33,22.51,23.64,24.69,26.31,25.1,25.53,26.91,26.23,26.47,,South
30233,1,fagr,1046.8,1046.800049,306,15.6,16.2,,1.28,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,58.52,61.21,63.06,64.6,65.67,66.53,66.53,66.78,66.81,67,From sap flow cluster. DBH 2013,,66.52,68.82,65.84,65.38,67.16,71,72.35,74.08,74.65,75.28,75.84,75.97,76.24,79.02,From sap flow cluster,,78.09,87.92,87.78,82.93,83.26,83.78,87.24,87.65,88.03,89.01,88.84,89.26,band adjusted 5/19/15,,93.97,93.82,94.59,95.54,101.11,101.89,103.69,107.03,109.71,110.02,110.95,112.47,114.13,114.08,band adj. 6/23,,119.54,119.8,120.02,122.08,123.25,124.77,130.15,131.84,132.36,132.2,131.99,131.71,,,131.3,131.8,132.47,133.5,134.98,137.36,139.66,140.91,144.03,144.49,145.71,,South
30234,1,fagr,71.5,71.5,306,15.3,18.5,,1.4,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,10.02,10.2,10.75,11.35,11.62,11.86,12.03,13.03,12.85,12.92,From sap flow cluster. DBH 2013,,13.06,13.1,12.99,13.7,15.69,16.22,18.39,18.22,18.37,18.63,18.99,18.94,18.92,18.87,From sap flow cluster,,19.34,19.3,19.3,19.8,21.8,22.29,23.24,24.12,24.61,24.64,24.92,25.01,,,26.17,26.14,26.14,26.42,27.4,28.74,29.42,29.6,29.73,29.68,29.92,29.76,29.83,29.81,,,30.32,30.36,30.36,30.49,30.97,30.54,30.69,30.97,31.13,30.93,31.02,31.25,"needs replacing, 9/21",,31.41,32.19,32.44,32.39,32.45,32.68,33.8,33.53,33.98,33.8,33.89,,South
30331,1,cagl,216,216,306,8.3,19.5,,1.46,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,8.35,8.73,9.64,11.06,11.16,11.24,11.31,11.5,10.97,10.91,From sap flow cluster. DBH 2013,,8.12,9.12,10.53,10.43,12.02,14.44,15.75,16.44,16.55,16.6,16.68,17.12,17.14,16.97,From sap flow cluster,,13.28,15.58,15.95,17.45,18.93,19.36,21.25,21.61,21.81,20.52,21.34,20.95,,,19.89,22.25,22.81,23.03,24.38,25.02,25.07,25.47,25.58,25.51,25.25,25.48,25.72,25.47,,,24.57,26.25,27.18,27.59,28.03,28.38,28.53,28.61,29.06,29,28.99,29.17,,,26.24,26.86,28.17,30.12,31.67,33.95,35.02,34.66,35.02,35.55,35.81,,South
30333,1,fagr,222,222,306,14,19.3,,1.52,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,9.86,10.31,11.83,13.08,13.87,14.78,15.5,16.17,16.32,16.3,From sap flow cluster. DBH 2013,,16.87,16.81,16.88,16.92,18.31,20.02,22.09,24.02,24.96,25.68,26.73,27.35,27.68,27.88,From sap flow cluster,,28.05,28.27,28.98,28.63,30.84,31.63,32.93,33.54,33.43,36.22,36.71,36.92,,,37.37,37.35,37.64,39.5,41.33,42.79,44.4,45.1,46.12,46.32,46.09,46.14,46.14,46.08,Needs new band! 8/18,,18.61,18.66,19.04,20.71,21.32,22.65,22.59,22.89,23.55,23.76,23.8,23.64,,,23.9,23.24,24.36,24.6,25.98,29.36,30.8,31.19,33.02,35.28,36.11,,South
30339,1,litu,588,588,307,8.6,4.1,,1.30,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,0.56,2.15,4.43,8.68,10.31,11.35,12.16,12.16,12.13,12.18,From sap flow cluster. DBH 2013,,12.12,10.36,11.59,10.49,11.32,13.18,15.84,18.99,19.22,20.58,22.38,22.94,22.98,22.41,From sap flow cluster,,22.44,21.68,21.32,21.8,24.06,25.53,28.51,31.05,33.18,33.89,34.13,34.38,,,33.08,35.01,35.2,35.27,38.26,41.08,43.21,45.75,47.52,47.31,47.27,48.5,48.88,48.25,,,46.45,48.83,48.86,50.34,52.83,55.3,58.74,59.1,60.59,60.56,60.67,61.27,,,59.5,59.49,60.29,59.98,60.6,62.24,64.82,65.68,67.52,68.93,70.2,,South
30339,2,litu,504,504,307,8.6,4.1,,1.30,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,80.39,82.06,84.62,89.26,90.73,91.62,93.27,93.24,93.21,93.27,From sap flow cluster. DBH 2013,,96.21,95.6,95.91,95.31,96.2,99.07,100.7,103.56,105.4,107.03,110.61,110.9,110.98,111.07,From sap flow cluster,,110.85,110.35,109.96,110.52,113.72,116.14,119.54,121.66,123.95,125.2,125.15,125.33,,,125.9,126.62,126.78,127.65,131.84,136.04,138.03,141.66,143.74,144.15,143.39,144.79,145.11,144.46,,,144.11,145.32,146.91,151.54,152.58,155,9.36,9.5,10.71,11.26,11.16,12.04,replaced 7/27,,9.96,9.69,10.18,10.2,13.93,17.34,22.05,24.35,28.21,31.2,32.6,,South
30339,3,litu,153.1,153.1000061,307,8.6,4.1,,1.30,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,16.59,17.49,17.78,19.18,19.28,19.35,19.49,19.62,19.56,19.59,From sap flow cluster. DBH 2013,,19.2,19.01,19.54,19.09,21.28,22.05,22.6,23.46,23.5,23.58,24.02,24.09,24.16,23.95,From sap flow cluster,,23.45,23.32,23.41,23.84,25.13,25.72,26.69,26.52,26.9,26.95,26.74,26.96,,,26.22,26.99,26.92,27.38,29.11,29.96,30.13,30.46,30.59,30.67,30.49,30.78,30.85,30.65,,,30.25,30.99,31.58,32.39,32.53,33.36,33.95,33.95,34.44,34.14,34.2,34.01,,,33.94,33.93,34.11,34.19,34.54,35.63,37.06,36.57,38.13,37.35,37.75,,South
