Column,Field,Site Description,Storage.Type,Units
1/A,survey.ID,"Survey number, of n measurements per year, written as ""YEAR.n"". For example, the March biannual survey in 2018 is labeled as 2018.1. The biweekly surveys after that are 2018.2, 2018.3, 2018.4, etc. The November biannual survey will be the highest number n, so in this example, it is 2018.14.",numeric (double),
2/B,biannual,"Quantifier if tree belongs to biannual survey. Enter ""1"" if part of biannual survey, ""0"" if not.",numeric (integer),
3/C,intraannual,"Quantifier if tree belongs to intraannual survey. Enter ""1"" if part of intraannual survey, ""0"" if not.",numeric (integer),
4/D,sp,"Six-letter species mnemonic, matching that used in main plot database",character (string),
5/E,quadrat,"Designation for 20x20 m quadrat, matching those used in main plot database",numeric (integer),
6/F,gx,X-coordinate within full plot,numeric (integer),m
7/G,gy,Y-coordinate within full plot,numeric (integer),m
8/H,treeID,"Arbitrary numeric identifier for trees, identical to those used in the main plot database and useful for matching dendrometers to the plot data",numeric (integer),
9/I,tag,"Tag number, appearing on aluminum tag attached to each tree; also matches dendrometer to plot data, though treeID is more secure",numeric (integer),
10/J,stemID,"Arbitrary numeric identifier for stems, identical to those used in the main plot database and useful for matching dendrometers to the plot data",numeric (integer),
11/K,stemtag,"Tag number, appearing on aluminum tag attached to each stem, matching plot database",numeric (integer),
12/L,exactdate,Date of dendrometer measure as Y-M-D,numeric (double),
13/M,measure,"The principal dendrometer measurement of dendrometer, i.e. the gap between tips (the window), spreading as the tree grows",numeric (double),mm
14/N,codes,Codes describing the tree. Explained in codes_metadata.csv,character (string),
15/O,status,Tree status: alive or dead,character (string),
16/P,notes,"Notes from field, such as ""dendroband overextended,"" ",character (string),
17/Q,date,"Date as integer number of days since 1 Jan 1961, for easy calculation of time between measurements",numeric (integer),
18/R,dendDiam,"Trunk diameter at the dendrometer, measured by a diameter tape, taken when dendrometer is first installed and necessary for converting subsequent dendrometer measures to dbh",numeric (double),
19/S,dbh,"Trunk diameter at dendrometer, = dendDiam on first measurement, subsequently estimated by converting dendrometer gap",numeric (double),m
20/T,dendroID,"Arbitrary numeric identifier for dendrometer, crucial for identifying when dendrometers change within a stem",numeric (integer),
21/U,type,Dendrometer type,character (string),
22/V,dir,Orientation of gauge dendrometer on trunk (a cardinal direction); O=oeste=west etc.,character (string),
23/W,dendHt,Height of dendrometer above ground,numeric (double),m
24/X,crown,Position of crown of tree: 1 (exposed) to 5 (shaded),numeric (integer),
25/Y,illum,Illumination of crown: 1 (high) to 4 (low),numeric (integer),
26/Z,lianas,Liana load in crown: 0 (none) to 5 (heavy),numeric (integer),
27/AA,measureID,"Arbitrary numeric identifier for measurements, not needed in analyses",numeric (integer),
