,tag,StemTag,quadrat,sp.x,biannual,intraannual,cored,treeID,stemID,gx,gy,status,NAD83_X,NAD83_Y,lat,lon
2,10010,1,101, juni,NA,NA,1,1009,1009,7.300000191,12.19999981,A,747392.536,4308518.804,38.89072929,-78.14763554
38,10122,1,101, juni,NA,NA,1,1104,1104,15.60000038,13.60000038,A,747400.8013,4308520.396,38.89074129,-78.14753978
8,10057,1,104, fram,NA,NA,1,1049,1049,6.199999809,69.69999695,D,747390.1023,4308576.263,38.89124712,-78.14764286
44,10194,1,104, fagr,NA,NA,1,1165,1165,14.89999962,73.19999695,A,747398.7188,4308579.964,38.89127801,-78.1475423
96,10296,1,106, juni,NA,NA,1,1257,1257,9.699999809,109.1999969,A,747392.685,4308615.834,38.89160254,-78.14759886
98,10517,1,107, quve,NA,NA,1,1465,1465,4.5,120.5999985,A,747387.222,4308627.11,38.89170557,-78.14765772
99,10539,1,108, fram,NA,NA,1,1483,1483,4.300000191,152,A,747386.2936,4308658.497,38.89198833,-78.1476571
97,10469,1,109,litu ,1,NA,NA,1419,1419,9.699999809,161,A,747391.4833,4308667.62,38.89206897,-78.14759405
101,10609,1,111,cagl ,1,NA,NA,1548,1548,19.5,202.8999939,A,747400.3086,4308709.736,38.89244555,-78.14747723
102,10619,1,111, fagr,NA,NA,1,1558,1558,4.300000191,208.3000031,A,747384.9874,4308714.782,38.89249528,-78.14765187
103,10636,1,112, quru,NA,NA,1,1575,1575,20,220.3999939,A,747400.4025,4308727.243,38.89260309,-78.14746985
104,10647,1,112, fagr,NA,NA,1,1586,1586,9.5,233.5,A,747389.6014,4308740.096,38.89272181,-78.14758961
100,10587,1,113,litu ,1,NA,NA,1526,1526,2.599999905,253,A,747382.2509,4308759.43,38.8928979,-78.1476673
105,10664,1,114, fagr,NA,NA,1,1603,1603,16.79999924,269.7000122,A,747396.0596,4308776.455,38.89304724,-78.14750213
106,10671,1,114,quru ,1,1,NA,1609,1609,6.199999809,274.5,A,747385.3511,4308781.008,38.89309123,-78.14762382
107,10675,1,114, fagr,NA,NA,1,1613,1613,12.10000038,271.5,A,747391.3191,4308778.146,38.89306379,-78.14755612
