tag,stemtag,sp,quadrat,survey.ID,exactdate,measure,codes,notes,field.recorders,data.enter,location
10671,1,quru,114,2012.05,5/22/2012,24.85,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
12025,1,quru,117,2012.05,5/22/2012,33.03,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
30467,1,litu,314,2012.05,5/22/2012,30.7,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
30512,1,quru,313,2012.05,5/22/2012,44.23,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
32126,1,litu,321,2012.05,5/22/2012,42.8,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
40875,1,qual,412,2012.05,5/22/2012,NA,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
42270,1,quru,424,2012.05,5/22/2012,NA,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
50364,1,qual,507,2012.05,5/22/2012,42.81,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
52190,1,quru,522,2012.05,5/22/2012,86.32,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
60414,1,quru,611,2012.05,5/22/2012,NA,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
62128,1,quru,620,2012.05,5/22/2012,57.57,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
62224,1,litu,622,2012.05,5/22/2012,32.07,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
70096,1,quru,704,2012.05,5/22/2012,70.01,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
70126,1,quru,705,2012.05,5/22/2012,68.83,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
70220,1,qual,702,2012.05,5/22/2012,57.6,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
70519,1,qual,711,2012.05,5/22/2012,46.14,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
70536,1,qual,711,2012.05,5/22/2012,48.2,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
70581,1,quru,714,2012.05,5/22/2012,77.2,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72116,1,litu,719,2012.05,5/22/2012,43.67,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72124,1,quru,719,2012.05,5/22/2012,90.86,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72210,1,qual,721,2012.05,5/22/2012,59.85,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72308,1,qual,725,2012.05,5/22/2012,15.9,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72324,1,litu,726,2012.05,5/22/2012,56.72,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72337,1,quru,727,2012.05,5/22/2012,70.71,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72348,1,quru,727,2012.05,5/22/2012,86.72,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72357,1,quru,728,2012.05,5/22/2012,112.76,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72408,1,qual,730,2012.05,5/22/2012,NA,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
72427,1,litu,730,2012.05,5/22/2012,54.87,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
80628,1,quru,811,2012.05,5/22/2012,15.71,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
82203,1,litu,822,2012.05,5/22/2012,57.96,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
82360,1,litu,829,2012.05,5/22/2012,53.31,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
82365,1,qual,829,2012.05,5/22/2012,24.61,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
82422,1,litu,831,2012.05,5/22/2012,36.24,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
90612,1,quru,910,2012.05,5/22/2012,31.4,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
90660,1,quru,913,2012.05,5/22/2012,67.79,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
90752,1,qual,916,2012.05,5/22/2012,38.25,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
91477,1,litu,908,2012.05,5/22/2012,26.14,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
92139,1,quru,920,2012.05,5/22/2012,30.51,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
92234,1,qual,922,2012.05,5/22/2012,NA,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
100754,1,quru,1005,2012.05,5/22/2012,110.93,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
100771,1,quru,1005,2012.05,5/22/2012,102.2,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
100905,1,litu,1008,2012.05,5/22/2012,55.84,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
100960,1,quru,1010,2012.05,5/22/2012,56.85,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
102177,1,qual,1020,2012.05,5/22/2012,38.62,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
102258,1,qual,1022,2012.05,5/22/2012,95.75,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
102261,1,qual,1022,2012.05,5/22/2012,61.61,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
102262,1,qual,1022,2012.05,5/22/2012,52.21,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
102264,1,qual,1022,2012.05,5/22/2012,8.19,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
102348,1,qual ,1025,2012.05,5/22/2012,62.23,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
102364,1,qual,1025,2012.05,5/22/2012,21.19,,,"Erika, Caity, LC, CK","Erika, Caity, LC, CK",
