tag,stemtag,sp,quadrat,lx,ly,year,month,day,dbhnew,dendroID,type,dendDiam,dendHt,measure,codes,notes,surveyor
10587,1,litu,113,2.6,13,2019,January,28,98.5, ,2,98.6,1.35,48.42, , , 
30233,1,fagr,306,15.6,16.2,2019,January,28,107.2, ,2,106.3,1.4,6.91, , , 
32097,1,litu,320,17.9,3,2019,January,28,65.1, ,2,64.7,1.4,21.43, , , 
40941,1,litu,414,6,15.4,2019, , , , ,2, , , , ,check dual stem, 
40972,1,litu,415,7.2,9.6,2019,January,28,84.7, ,2,86.9,1.32,6.9, , , 
70096,1,quru,704,3.3,12.7,2019, , , , ,2, , , , , , 
72448,1,litu,732,18.9,4.7,2019, , , , ,2, , , , , , 
80100,1,litu,804,3.4,12.6,2019,January,23,58.2, ,2,58.6,1.4,17.24, , , 
90043,1,quve,901,12.5,17.6,2019, , , , ,2, , , , , , 
90084,1,quve,902,16.2,19.3,2019, , , , ,2, , , , , , 
110061,1,litu,1101,17,10,2019, , , , ,2, , , , , , 
121358,1,fram,1216,10.9,12,2019, , , , ,2, , , , , , 
130718,1,litu,1306,7.3,11.3,2019, , , , ,2, , , , , , 
131272,1,fram,1315,18.5,2.2,2019, , , , ,2, , , , , , 
132302,1,quru,1321,13,14.4,2019, , , , ,2, , , , , , 
132371,1,quru,1325,19.9,12.9,2019, , , , ,2, , , , , , 
140736,1,quve,1407,2.4,13.6,2019, , , , ,2, , , , , , 
171254,1,litu,1708,15.3,3.4,2019, , , , ,2, , , , , , 
171462,1,qual,1715,7.9,7.5,2019, , , , ,2, , , , , , 
172201,1,cagl,1717,19.5,1.2,2019, , , , ,2, , , , , , 
172416,1,nysy,1725,19.9,15.6,2019, , , , ,2, , , , , , 
182161,1,fram,1822,16.8,3.2,2019, , , , ,2, , , , , , 
192570,1,fram,1931,16.4,16.3,2019, , , , ,2, , , , , , 
200038,1,litu,2001,3.6,9.6,2019, , , , ,2, , , , ,stems grew together, 
200038,2,litu,2001,3.6,9.6,2019, , , , ,2, , , , , , 
201261,1,juni,2013,0.3,17.3,2019, , , , ,2, , , , , , 
202541,1,fram,2028,2.5,15,2019, , , , ,2, , , , , , 
202543,1,litu,2028,0.5,15.6,2019, , , , ,2, , , , , , 
202545,1,litu,2029,4.5,2.6,2019, , , , ,2, , , , , , 
