tag,stemtag,sp,quadrat,lx,ly,survey.ID,year,month,day,dbh,new.band,dendroID,type,dendDiam,dir,dendHt,measure,codes,notes,field.recorders,data.enter,biannual,intraannual,status,stemID,treeID,crown.condition,crown.illum,lianas,measureID
10587,1,litu,113,2.6,13,2019,2019,January,28,985,1,897,2,986,NA,1.35,48.42, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,1526,1526,NA,NA,NA,NA
30233,1,fagr,306,15.6,16.2,2019,2019,January,28,1072,1,898,2,1063,NA,1.4,6.91, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,1,alive,3874,3874,NA,NA,NA,NA
32097,1,litu,320,17.9,3,2019,2019,January,28,651,1,899,2,647,NA,1.4,21.43, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,4326,4326,NA,NA,NA,NA
40941,1,litu,414,6,15.4,2019,2019,February,4,NA,1,33,2,983,NA,0.7,NA, ,"band not adjusted, got record for dendDiam","Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,9757,5402,NA,NA,NA,NA
40972,1,litu,415,7.2,9.6,2019,2019,January,28,847,1,900,2,869,NA,1.32,6.9, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,5432,5432,NA,NA,NA,NA
70096,1,quru,704,3.3,12.7,2019,2019,February,5,893,1,901,2,881,NA,1.4,4.96, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,1,alive,8126,8126,NA,NA,NA,NA
72448,1,litu,732,18.9,4.7,2019,2019,February,4,490,1,902,2,488,NA,1.35,6.74, , ,"Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,9086,9086,NA,NA,NA,NA
80100,1,litu,804,3.4,12.6,2019,2019,January,23,582,1,903,2,586,NA,1.4,17.24, , ,"Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,9197,9197,NA,NA,NA,NA
90043,1,quve,901,12.5,17.6,2019,2019,February,8,1483,1,904,2,1481,NA,1.4,23.12, , ,"Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,10315,10315,NA,NA,NA,NA
110061,1,litu,1101,17,10,2019,2019,February,8,1205,1,905,2,1210,NA,1.4,6.65, ,"lianas on tree, one larger one under band (Virginia creeper)","Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,1,alive,13507,13507,NA,NA,NA,NA
121358,1,fram,1216,10.9,12,2019,2019,February,5,1058,1,906,2,1033,NA,1.4,20.42, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,16451,16451,NA,NA,NA,NA
130718,1,litu,1306,7.3,11.3,2019,2019,February,5,1032,1,907,2,1023,NA,1.4,4.04, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,17666,17666,NA,NA,NA,NA
131272,1,fram,1315,18.5,2.2,2019,2019,February,5,NA,0,NA,2,NA,NA,NA,NA,,band removed due to large flaking bark; tree replaced by 141088,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,18195,18195,NA,NA,NA,NA
132302,1,quru,1321,13,14.4,2019,2019,February,4,948,1,908,2,916,NA,1.4,6.75,,tree has hollow portion/has knots,"Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,18624,18624,NA,NA,NA,NA
132371,1,quru,1325,19.9,12.9,2019,2019,February,4,752,1,909,2,739,NA,1.4,5.94, , ,"Alyssa Terrell, Ian McGregor",Ian McGregor,1,0,alive,18692,18692,NA,NA,NA,NA
140736,1,quve,1407,2.4,13.6,2019,2019,February,5,684,1,910,2,671,NA,1.5,8.81, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,19530,19530,NA,NA,NA,NA
171254,1,litu,1708,15.3,3.4,2019,2019,February,5,765,1,911,2,764,NA,1.4,58.51, , ,"Alyssa Terrell, Becky Banbury Morgan, Ian McGregor",Ian McGregor,1,0,alive,25080,25080,NA,NA,NA,NA
