tag,stemtag,sp,quadrat,survey.ID,year,month,day,measure,codes,notes,field.recorders,data.enter,location,Leaf code
10671,1,quru,114,2021.03,2021,7,06,78.29,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
12025,1,quru,117,2021.03,2021,7,06,76.33,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,North,0
30225,1,qual,306,2021.03,2021,7,06,34.96,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30233,1,fagr,306,2021.03,2021,7,06,48.35,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30234,1,fagr,306,2021.03,2021,7,06,13.81,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30331,1,cagl,306,2021.03,2021,7,06,50.01,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30333,1,fagr,306,2021.03,2021,7,06,67.87,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30339,1,litu,307,2021.03,2021,7,06,93.72,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30339,2,litu,307,2021.03,2021,7,06,89.23,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30339,3,litu,307,2021.03,2021,7,06,44.38,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30467,1,litu,314,2021.03,2021,7,06,107.55,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,1
30512,1,quru,313,2021.03,2021,7,06,45.67,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,1
32126,1,litu,321,2021.03,2021,7,06,129,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,North,1
40562,1,fagr,406,2021.03,2021,7,06,9.87,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
40563,1,fagr,406,2021.03,2021,7,06,62.86,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,1
40564,1,fagr,406,2021.03,2021,7,06,NA,RE,replace tag and dendroband,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
40565,1,cagl,406,2021.03,2021,7,06,7.69,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
40566,1,cagl,406,2021.03,2021,7,06,28.86,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
40567,1,fagr,406,2021.03,2021,7,06,18.26,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
