tag,stemtag,sp,quadrat,survey.ID,exactdate,measure,crown.condition,illum,codes,notes,field.recorders,data.enter,location,area
10469,1,litu,109,,,,,,,,,,South,3
10609,1,cagl,111,,,,,,,,,,South,3
10587,1,litu,113,,,,,,,,,,South,3
10671,1,quru,114,,,,,,,,,,South,3
12025,1,quru,117,,,,,,,,,,North,4
12259,1,litu,125,,,,,,,,,,North,4
12270,1,tiam,125,,,,,,,,,,North,4
12508,1,litu,131,,,,,,,,,,North,4
20587,1,litu,208,,,,,,,,,,South,3
20603,1,fram,208,,,,,,,,,,South,3
20617,1,litu,209,,,,,,,,,,South,3
20712,1,litu,212,,,,,,,,,,South,3
22004,2,litu,217,,,,,,,,,,North,4
22041,1,litu,217,,,,,,,,,,North,4
22170,1,litu,221,,,,,,,,,,North,4
22333,1,fram,226,,,,,,,,,,North,4
30225,1,qual,306,,,,,,,,,,South,3
30233,1,fagr,306,,,,,,,,,,South,3
30234,1,fagr,306,,,,,,,,,,South,3
30331,1,cagl,306,,,,,,,,,,South,3
30333,1,fagr,306,,,,,,,,,,South,3
30339,1,litu,307,,,,,,,,,,South,3
30339,2,litu,307,,,,,,,,,,South,3
30339,3,litu,307,,,,,,,,,,South,3
30365,1,fram,308,,,,,,,,,,South,3
30462,1,litu,313,,,,,,,,,,South,3
30512,1,quru,313,,,,,,,,,,South,3
30467,1,litu,314,,,,,,,,,,South,3
30584,1,quve,316,,,,,,,,,,North,4
32084,1,litu,319,,,,,,,,,,North,4
32097,1,litu,320,,,,,,,,,,North,4
32126,1,litu,321,,,,,,,,,,North,4
32381,1,qupr,327,,,,,,,,,,North,4
32423,1,litu,329,,,,,,,,,,North,4
32540,1,qupr,332,,,,,,,,,,North,4
40562,1,fagr,406,,,,,,,,,,South,3
40563,1,fagr,406,,,,,,,,,,South,3
40564,1,fagr,406,,,,,,,,,,South,3
40565,1,cagl,406,,,,,,,,,,South,3
40566,1,cagl,406,,,,,,,,,,South,3
40567,1,fagr,406,,,,,,,,,,South,3
40568,1,fagr,406,,,,,,,,,,South,3
40569,1,litu,407,,,,,,,,,,South,3
40635,1,cagl,408,,,,,,,,,,South,3
40941,1,litu,414,,,,,,,,,,South,3
40942,1,acru,414,,,,,,,,,,South,3
40972,1,litu,415,,,,,,,,,,North,3
42009,1,ploc,417,,,,,,,,,,North,4
42397,1,quru,428,,,,,,,,,,North,4
50160,1,fram,502,,,,,,,,,,South,3
50288,1,quru,505,,,,,,,,,,South,2
50364,1,qual,507,,,,,,,,,,South,2
50650,1,litu,514,,,,,,,,,,South,3
50654,1,litu,514,,,,,,,,,,South,3
52087,1,quru,519,,,,,,,,,,North,4
52190,1,quru,522,,,,,,,,,,North,4
60161,1,qupr,608,,,,,,,,,,South,2
60456,1,caca,614,,,,,,,,,,South,3
60457,1,caca,614,,,,,,,,,,South,3
60562,1,fagr,614,,,,,,,,,,South,3
60563,1,caca,614,,,,,,,,,,South,3
60566,1,fagr,614,,,,,,,,,,South,3
60567,1,litu,614,,,,,,,,,,South,3
60568,1,caca,614,,,,,,,,,,South,3
60569,1,caca,614,,,,,,,,,,South,3
60571,1,caca,614,,,,,,,,,,South,3
60573,1,tiam,614,,,,,,,,,,South,3
60458,1,fagr,615,,,,,,,,,,South,3
60459,1,fagr,615,,,,,,,,,,South,3
60462,1,fagr,615,,,,,,,,,,South,3
60463,1,juni,615,,,,,,,,,,South,3
60468,1,caca,615,,,,,,,,,,South,3
60469,1,cofl,615,,,,,,,,,,South,3
60576,1,caca,615,,,,,,,,,,South,3
60577,1,litu,615,,,,,,,,,,South,3
60578,1,caca,615,,,,,,,,,,South,3
60581,1,litu,615,,,,,,,,,,South,3
60582,1,quru,615,,,,,,,,,,South,3
60586,1,caca,615,,,,,,,,,,South,3
60587,1,caca,615,,,,,,,,,,South,3
60588,1,caco,615,,,,,,,,,,South,3
62128,1,quru,620,,,,,,,,,,North,4
62181,1,quve,621,,,,,,,,,,North,4
62224,1,litu,622,,,,,,,,,,North,4
62241,1,litu,623,,,,,,,,,,North,4
62417,1,quve,630,,,,,,,,,,North,7
62449,1,qual,632,,,,,,,,,,North,7
62454,1,quve,632,,,,,,,,,,North,7
70216,1,quve,701,,,,,,,,,,South,3
70220,1,qual,702,,,,,,,,,,South,3
70096,1,quru,704,,,,,,,,,,South,2
70278,1,qupr,704,,,,,,,,,,South,2
70126,1,quru,705,,,,,,,,,,South,2
70292,1,cagl,705,,,,,,,,,,South,2
70181,1,litu,707,,,,,,,,,,South,2
70352,1,litu,707,,,,,,,,,,South,2
70357,1,cagl,708,,,,,,,,,,South,2
70358,1,litu,708,,,,,,,,,,South,2
70433,1,litu,710,,,,,,,,,,South,2
70519,1,qual,711,,,,,,,,,,South,2
70536,1,qual,711,,,,,,,,,,South,2
70492,1,nysy,714,,,,,,,,,,South,3
70493,1,litu,714,,,,,,,,,,South,3
70494,1,caca,714,,,,,,,,,,South,3
70494,2,caca,714,,,,,,,,,,South,3
70495,1,caca,714,,,,,,,,,,South,3
70579,1,caco,714,,,,,,,,,,South,3
70581,1,quru,714,,,,,,,,,,South,3
72024,1,quve,717,,,,,,,,,,North,4
72115,1,litu,719,,,,,,,,,,North,4
72116,1,litu,719,,,,,,,,,,North,4
72122,1,caca,719,,,,,,,,,,North,4
72124,1,quru,719,,,,,,,,,,North,4
72149,1,litu,720,,,,,,,,,,North,4
72210,1,qual,721,,,,,,,,,,North,4
72232,1,qual,722,,,,,,,,,,North,4
72248,1,caco,723,,,,,,,,,,North,4
72308,1,qual,725,,,,,,,,,,North,7
72322,1,litu,726,,,,,,,,,,North,7
72324,1,litu,726,,,,,,,,,,North,7
72337,1,quru,727,,,,,,,,,,North,7
72348,1,quru,727,,,,,,,,,,North,7
72357,1,quru,728,,,,,,,,,,North,7
72375,1,litu,728,,,,,,,,,,North,7
72377,1,litu,728,,,,,,,,,,North,7
72427,1,litu,730,,,,,,,,,,North,7
72447,1,litu,732,,,,,,,,,,North,7
72448,1,litu,732,,,,,,,,,,North,7
80005,1,fram,801,,,,,,,,,,South,3
80100,1,litu,804,,,,,,,,,,South,2
80180,1,cato,804,,,,,,,,,,South,2
80398,1,caco,807,,,,,,,,,,South,2
80401,1,caco,807,,,,,,,,,,South,2
80615,1,litu,810,,,,,,,,,,South,2
80628,1,quru,811,,,,,,,,,,South,2
80631,1,litu,811,,,,,,,,,,South,2
80554,1,caovl,813,,,,,,,,,,South,2
80559,1,nysy,813,,,,,,,,,,South,2
82125,1,cagl,819,,,,,,,,,,North,4
82138,1,quru,820,,,,,,,,,,North,4
82203,1,litu,822,,,,,,,,,,North,4
82223,1,litu,822,,,,,,,,,,North,4
82226,1,litu,823,,,,,,,,,,North,4
82284,1,quve,825,,,,,,,,,,North,7
82292,1,litu,826,,,,,,,,,,North,7
82298,1,litu,826,,,,,,,,,,North,7
82326,1,quve,827,,,,,,,,,,North,7
82357,1,litu,828,,,,,,,,,,North,7
82360,1,litu,829,,,,,,,,,,North,7
82365,1,qual,829,,,,,,,,,,North,7
82368,1,litu,829,,,,,,,,,,North,7
82419,1,litu,831,,,,,,,,,,North,7
82421,1,litu,831,,,,,,,,,,North,7
82422,1,litu,831,,,,,,,,,,North,7
82434,1,quve,832,,,,,,,,,,North,7
90043,1,quve,901,,,,,,,,,,South,2
90084,1,quve,902,,,,,,,,,,South,2
90162,1,litu,904,,,,,,,,,,South,2
90311,1,cagl,904,,,,,,,,,,South,2
90354,1,litu,905,,,,,,,,,,South,2
91435,1,litu,907,,,,,,,,,,South,2
91451,1,litu,907,,,,,,,,,,South,2
91474,1,litu,908,,,,,,,,,,South,2
91476,1,litu,908,,,,,,,,,,South,2
91477,1,litu,908,,,,,,,,,,South,2
91486,1,cagl,908,,,,,,,,,,South,2
90530,1,litu,910,,,,,,,,,,South,2
90612,1,quru,910,,,,,,,,,,South,2
90660,1,quru,913,,,,,,,,,,South,2
90752,1,qual,916,,,,,,,,,,North,5
92006,1,litu,917,,,,,,,,,,North,5
92018,1,acru,917,,,,,,,,,,North,5
92112,1,litu,919,,,,,,,,,,North,5
92139,1,quru,920,,,,,,,,,,North,5
92140,1,cato,920,,,,,,,,,,North,5
92141,1,cagl,920,,,,,,,,,,North,5
92237,1,nysy,922,,,,,,,,,,North,5
92238,1,quve,922,,,,,,,,,,North,5
92280,1,quve,923,,,,,,,,,,North,5
92393,1,cagl,925,,,,,,,,,,North,7
92414,1,litu,926,,,,,,,,,,North,7
92466,1,litu,927,,,,,,,,,,North,7
92487,1,quve,928,,,,,,,,,,North,7
92488,1,litu,928,,,,,,,,,,North,7
92545,1,litu,931,,,,,,,,,,North,7
92546,1,litu,931,,,,,,,,,,North,7
92547,1,litu,931,,,,,,,,,,North,7
100011,1,fram,1001,,,,,,,,,,South,3
100612,1,litu,1003,,,,,,,,,,South,2
100516,1,litu,1004,,,,,,,,,,South,2
100562,1,litu,1004,,,,,,,,,,South,2
100754,1,quru,1005,,,,,,,,,,South,2
100771,1,quru,1005,,,,,,,,,,South,2
100905,1,litu,1008,,,,,,,,,,South,2
100906,1,litu,1008,,,,,,,,,,South,2
100960,1,quru,1010,,,,,,,,,,South,2
101111,1,litu,1011,,,,,,,,,,South,2
101118,1,litu,1011,,,,,,,,,,South,2
101244,1,quve,1014,,,,,,,,,,South,3
101310,1,fram,1016,,,,,,,,,,North,5
101312,1,fram,1016,,,,,,,,,,North,5
102148,1,cato,1019,,,,,,,,,,North,5
102149,1,cagl,1020,,,,,,,,,,North,5
102150,1,qual,1020,,,,,,,,,,North,5
102154,1,qual,1020,,,,,,,,,,North,5
102177,1,qual,1020,,,,,,,,,,North,5
102258,1,qual,1022,,,,,,,,,,North,5
102261,1,qual,1022,,,,,,,,,,North,5
102262,1,qual,1022,,,,,,,,,,North,5
102264,1,qual,1022,,,,,,,,,,North,5
102303,1,quve,1024,,,,,,,,,,North,5
102348,1,qual,1025,,,,,,,,,,North,7
102364,1,qual,1025,,,,,,,,,,North,7
