tag,stemtag,sp,quadrat,survey.ID,year,month,day,measure,codes,notes,field.recorders,data.enter,location,Leaf code
10671,1,quru,114,2021.1,2021,June,08,77.29,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
12025,1,quru,117,2021.1,2021,June,08,75.33,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,North,0
30225,1,qual,306,2021.1,2021,June,08,33.96,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30233,1,fagr,306,2021.1,2021,June,08,47.35,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30234,1,fagr,306,2021.1,2021,June,08,12.81,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30331,1,cagl,306,2021.1,2021,June,08,49.01,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30333,1,fagr,306,2021.1,2021,June,08,66.87,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30339,1,litu,307,2021.1,2021,June,08,92.72,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30339,2,litu,307,2021.1,2021,June,08,88.23,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30339,3,litu,307,2021.1,2021,June,08,43.38,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
30467,1,litu,314,2021.1,2021,June,08,106.55,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,1
30512,1,quru,313,2021.1,2021,June,08,44.67,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,1
32126,1,litu,321,2021.1,2021,June,08,128,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,North,1
40562,1,fagr,406,2021.1,2021,June,08,8.87,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
40563,1,fagr,406,2021.1,2021,June,08,61.86,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,1
40564,1,fagr,406,2021.1,2021,June,08,NA,RE,replace tag and dendroband,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
40565,1,cagl,406,2021.1,2021,June,08,6.69,,,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",Brianna Calkins,South,0
