sp,group,bian,biwk,new_bian,total_new_bian,new_biwk,total_new_biwk
litu,1,179,43,0,0,0,0
qual,1,27,32,0,0,0,0
quru,1,19,33,0,0,0,0
quve,1,31,0,0,0,2,2
qupr,1,12,0,0,0,2,4
cagl,1,26,3,0,0,0,4
juni,1,10,1,2,2,1,5
cato,1,10,0,2,4,2,7
caco,1,7,1,5,9,1,8
fagr,1,1,12,11,20,0,8
caovl,2,3,0,9,29,1,9
acru,2,7,0,5,34,0,9
ploc,2,5,0,7,41,0,9
tiam,2,0,1,12,53,0,9
nysy,2,7,1,5,58,0,9
ceca,3,1,0,11,69,0,9
pist,3,6,0,6,75,0,9
ulru,3,3,0,9,84,0,9
caca,4,1,13,11,95,0,9
cofl,4,0,1,12,107,0,9
fram,5,1,0,11,118,0,9
