tag,stemtag,sp,quadrat,survey.ID,exactdate,measure,crown.condition,illum,codes,notes,field.recorders,data.enter,location,area
10469,1,litu,109,2011.23,12/15/2011,103.08,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
10587,1,litu,113,2011.23,12/15/2011,56.28,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
10609,1,cagl,111,2011.23,12/15/2011,25.61,3,5,,,Jennifer McGarvey,Jennifer McGarvey,,
10671,1,quru,114,2011.23,12/15/2011,74.86,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
12025,1,quru,117,2011.23,12/15/2011,29.23,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
12101,1,quru,120,2011.23,12/15/2011,16.13,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
12259,1,litu,125,2011.23,12/15/2011,8.61,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
12270,1,tiam,125,2011.23,12/15/2011,35.20,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
12308,1,caca,126,2011.23,12/15/2011,30.85,4,2,,,Jennifer McGarvey,Jennifer McGarvey,,
12508,1,litu,131,2011.23,12/15/2011,50.12,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
20432,1,fram,204,2011.23,12/15/2011,34.57,3,5,,,Jennifer McGarvey,Jennifer McGarvey,,
20587,1,litu,208,2011.23,12/15/2011,121.96,4,5,,,Jennifer McGarvey,Jennifer McGarvey,,
20603,1,fram,208,2011.23,12/15/2011,42.96,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
20617,1,litu,209,2011.23,12/15/2011,53.13,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
20712,1,litu,212,2011.23,12/15/2011,75.11,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
22004,2,litu,217,2011.23,12/15/2011,42.90,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
22041,1,litu,217,2011.23,12/15/2011,89.55,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
22170,1,litu,221,2011.23,12/15/2011,21.79,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
22333,1,fram,226,2011.23,12/15/2011,20.62,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
30039,1,fram,302,2011.23,12/15/2011,27.61,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
30233,1,fagr,306,2011.23,12/15/2011,44.00,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
30365,1,fram,308,2011.23,12/15/2011,88.58,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
30462,1,litu,313,2011.23,12/15/2011,41.95,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
30467,1,litu,314,2011.23,12/15/2011,31.44,4,3,,,Jennifer McGarvey,Jennifer McGarvey,,
30512,1,quru,313,2011.23,12/15/2011,48.74,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
30584,1,quve,316,2011.23,12/15/2011,77.83,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
32084,1,litu,317,2011.23,12/15/2011,48.89,2,4,,,Jennifer McGarvey,Jennifer McGarvey,,
32097,1,litu,320,2011.23,12/15/2011,138.18,4,5,,,Jennifer McGarvey,Jennifer McGarvey,,
32126,1,litu,321,2011.23,12/15/2011,40.42,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
32381,1,qupr,327,2011.23,12/15/2011,56.67,2,4,,,Jennifer McGarvey,Jennifer McGarvey,,
32423,1,litu,329,2011.23,12/15/2011,82.77,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
32540,1,qupr,332,2011.23,12/15/2011,41.10,2,3,,,Jennifer McGarvey,Jennifer McGarvey,,
40635,1,cato,408,2011.23,12/15/2011,18.65,4,3,,,Jennifer McGarvey,Jennifer McGarvey,,
40875,1,qual,412,2011.23,12/15/2011,40.56,3,4,,dead Dec 2011.,Jennifer McGarvey,Jennifer McGarvey,,
40941,1,litu,413,2011.23,12/15/2011,41.05,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
40942,1,acru,414,2011.23,12/15/2011,36.63,4,3,,,Jennifer McGarvey,Jennifer McGarvey,,
40972,2,litu,415,2011.23,12/15/2011,49.52,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
42009,1,ploc,417,2011.23,12/15/2011,NA,NA,NA,,Tree was banded; not on list,Jennifer McGarvey,Jennifer McGarvey,,
42270,1,quru,424,2011.23,12/15/2011,14.08,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
42397,1,quru,428,2011.23,12/15/2011,119.10,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
42562,1,quru,431,2011.23,12/15/2011,63.72,3,3,,,Jennifer McGarvey,Jennifer McGarvey,,
50160,1,fram,502,2011.23,12/15/2011,66.99,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
50288,1,quru,505,2011.23,12/15/2011,83.60,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
50364,1,qual,507,2011.23,12/15/2011,39.36,4,4,,,Jennifer McGarvey,Jennifer McGarvey,,
52087,1,quru,519,2011.23,12/15/2011,NA,2,5,,,Jennifer McGarvey,Jennifer McGarvey,,
52190,1,quru,522,2011.23,12/15/2011,85.68,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
52276,1,quve,525,2011.23,12/15/2011,45.17,2,4,,,Jennifer McGarvey,Jennifer McGarvey,,
60161,1,qupr,608,2011.23,12/15/2011,26.25,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
60414,1,quru,611,2011.23,12/15/2011,9.75,2,4,,,Jennifer McGarvey,Jennifer McGarvey,,
62128,1,quru,620,2011.23,12/15/2011,72.10,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
62181,1,quve,621,2011.23,12/15/2011,45.49,2,4,,,Jennifer McGarvey,Jennifer McGarvey,,
62224,1,litu,622,2011.23,12/15/2011,30.64,3,4,,,Jennifer McGarvey,Jennifer McGarvey,,
