tag,stemtag,sp,quadrat,survey.ID,exactdate,measure,codes,notes,field.recorders,data.enter,location
10671,1,quru,114,2014.06,6/10/2014,53.27,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
12025,1,quru,117,2014.06,6/10/2014,70.48,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30225,1,qual,306,2014.06,6/10/2014,9.13,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30233,1,fagr,306,2014.06,6/10/2014,71,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30234,1,fagr,306,2014.06,6/10/2014,16.22,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30331,1,cagl,306,2014.06,6/10/2014,14.44,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30333,1,fagr,306,2014.06,6/10/2014,20.02,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30339,1,litu,307,2014.06,6/10/2014,13.18,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30339,2,litu,307,2014.06,6/10/2014,99.07,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30339,3,litu,307,2014.06,6/10/2014,22.05,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30343,1,quru,307,2014.06,6/10/2014,22.32,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30467,1,litu,314,2014.06,6/10/2014,52.77,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
30512,1,quru,313,2014.06,6/10/2014,70.66,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
32126,1,litu,321,2014.06,6/10/2014,97.64,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
40562,1,fagr,406,2014.06,6/10/2014,8.4,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
40563,1,fagr,406,2014.06,6/10/2014,28.24,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
40564,1,fagr,406,2014.06,6/10/2014,6.9,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
40565,1,cagl,406,2014.06,6/10/2014,12.07,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
40566,1,cagl,406,2014.06,6/10/2014,8.45,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
40567,1,fagr,406,2014.06,6/10/2014,9.54,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
40568,1,fagr,406,2014.06,6/10/2014,28.61,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
40569,1,litu,407,2014.06,6/10/2014,23.5,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
40875,1,qual,412,2014.06,6/10/2014,NA,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
42270,1,quru,424,2014.06,6/10/2014,NA,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
50364,1,qual,507,2014.06,6/10/2014,71.07,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
50650,1,litu,514,2014.06,6/10/2014,4.37,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
50654,1,litu,514,2014.06,6/10/2014,22.79,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
52190,1,quru,522,2014.06,6/10/2014,126.15,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60414,1,quru,611,2014.06,6/10/2014,NA,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60456,1,caca,614,2014.06,6/10/2014,5.98,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60457,1,caca,614,2014.06,6/10/2014,5.1,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60458,1,fagr,615,2014.06,6/10/2014,28.35,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60459,1,fagr,615,2014.06,6/10/2014,24.24,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60462,1,fagr,615,2014.06,6/10/2014,20.96,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60463,1,juni,615,2014.06,6/10/2014,14.88,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60468,1,caca,615,2014.06,6/10/2014,9.36,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60469,1,cofl,615,2014.06,6/10/2014,4.47,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60562,1,fagr,614,2014.06,6/10/2014,15.77,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60563,1,caca,614,2014.06,6/10/2014,13.92,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60566,1,fagr,614,2014.06,6/10/2014,20.95,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60567,1,litu,614,2014.06,6/10/2014,30.85,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60568,1,caca,614,2014.06,6/10/2014,5.53,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60569,1,caca,614,2014.06,6/10/2014,6.22,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60570,1,caco,614,2014.06,6/10/2014,18.18,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60571,1,caca,614,2014.06,6/10/2014,4.4,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60573,1,tiam,614,2014.06,6/10/2014,18.18,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60576,1,caca,615,2014.06,6/10/2014,23.12,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60577,1,litu,615,2014.06,6/10/2014,25.21,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60578,1,caca,615,2014.06,6/10/2014,4.69,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60579,1,caca,615,2014.06,6/10/2014,4.68,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60581,1,litu,615,2014.06,6/10/2014,27,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60582,1,quru,615,2014.06,6/10/2014,6.06,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60586,1,caca,615,2014.06,6/10/2014,3.71,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60587,1,caca,615,2014.06,6/10/2014,5.52,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
60588,1,caco,615,2014.06,6/10/2014,9.8,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
62128,1,quru,620,2014.06,6/10/2014,72.98,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
62224,1,litu,622,2014.06,6/10/2014,56.08,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70096,1,quru,704,2014.06,6/10/2014,99.22,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70126,1,quru,705,2014.06,6/10/2014,115.55,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70220,1,qual,702,2014.06,6/10/2014,86.75,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70492,1,nysy,714,2014.06,6/10/2014,14.24,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70493,1,litu,714,2014.06,6/10/2014,28.51,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70494,1,caca,714,2014.06,6/10/2014,6.2,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70494,2,caca,714,2014.06,6/10/2014,8.77,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70495,1,caca,714,2014.06,6/10/2014,6.75,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70519,1,qual,711,2014.06,6/10/2014,59.12,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70536,1,qual,711,2014.06,6/10/2014,72.66,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
70581,1,quru,714,2014.06,6/10/2014,116.16,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72116,1,litu,719,2014.06,6/10/2014,66.28,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72124,1,quru,719,2014.06,6/10/2014,147.65,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72210,1,qual,721,2014.06,6/10/2014,82.36,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72308,1,qual,725,2014.06,6/10/2014,29.79,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72324,1,litu,726,2014.06,6/10/2014,96.81,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72337,1,quru,727,2014.06,6/10/2014,107.31,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72348,1,quru,727,2014.06,6/10/2014,115.35,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72357,1,quru,728,2014.06,6/10/2014,60.91,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72408,1,qual,730,2014.06,6/10/2014,NA,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
72427,1,litu,730,2014.06,6/10/2014,NA,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
80628,1,quru,811,2014.06,6/10/2014,24.96,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
82203,1,litu,822,2014.06,6/10/2014,83.5,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
82360,1,litu,829,2014.06,6/10/2014,76.88,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
82365,1,qual,829,2014.06,6/10/2014,37.3,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
82422,1,litu,831,2014.06,6/10/2014,50.03,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
90612,1,quru,910,2014.06,6/10/2014,54.88,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
90660,1,quru,913,2014.06,6/10/2014,118.2,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
90752,1,qual,916,2014.06,6/10/2014,72.65,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
91477,1,litu,908,2014.06,6/10/2014,34.79,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
92139,1,quru,920,2014.06,6/10/2014,32.82,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
92234,1,qual,922,2014.06,6/10/2014,NA,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
100754,1,quru,1005,2014.06,6/10/2014,130.17,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
100771,1,quru,1005,2014.06,6/10/2014,160.98,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
100905,1,litu,1008,2014.06,6/10/2014,81.33,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
100960,1,quru,1010,2014.06,6/10/2014,112.47,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
102177,1,qual,1020,2014.06,6/10/2014,63.37,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
102258,1,qual,1022,2014.06,6/10/2014,104.06,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
102261,1,qual,1022,2014.06,6/10/2014,85.29,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
102262,1,qual,1022,2014.06,6/10/2014,61.84,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
102264,1,qual,1022,2014.06,6/10/2014,15.12,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
102348,1,qual ,1025,2014.06,6/10/2014,88.01,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
102364,1,qual,1025,2014.06,6/10/2014,44.9,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
110061,1,litu,1101,2014.06,6/10/2014,81.25,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
110788,1,litu,1104,2014.06,6/10/2014,52.81,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
110791,1,litu,1104,2014.06,6/10/2014,114.8,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
110901,1,litu,1105,2014.06,6/10/2014,147.3,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
111030,1,litu,1107,2014.06,6/10/2014,42.32,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
112137,1,qual,1120,2014.06,6/10/2014,148.25,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
112262,1,quru,1123,2014.06,6/10/2014,37.47,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
112336,1,qual,1125,2014.06,6/10/2014,16.77,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
112482,1,litu,1131,2014.06,6/10/2014,45.19,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
120781,1,litu,1205,2014.06,6/10/2014,43.07,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
121195,1,quru,1211,2014.06,6/10/2014,126.51,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
121221,1,litu,1207,2014.06,6/10/2014,82.57,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
121305,1,quru,1211,2014.06,6/10/2014,48.36,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
122130,1,qual,1219,2014.06,6/10/2014,NA,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
122136,1,quru,1220,2014.06,6/10/2014,66.2,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
122189,1,qual,1222,2014.06,6/10/2014,56.02,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
122303,1,qual,1223,2014.06,6/10/2014,37.7,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
122343,1,qual,1225,2014.06,6/10/2014,57.53,,,"Erika Gonzalez, Amy Lewis","Erika Gonzalez, Amy Lewis",
