tag,stemtag,sp,quadrat,survey.ID,exactdate,measure,crown.condition,crown.illum,codes,notes,field.recorders,data.enter,location,area
10469,1,litu,109,2016.15,11/10/2016,79.94,,,,,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
10587,1,litu,113,2016.15,11/10/2016,129.39,,,,,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
10609,1,cagl,111,2016.15,11/10/2016,60.21,,,,,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
10671,1,quru,114,2016.15,11/10/2016,20.65,,,,New band installed on 04/25/2016,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
12025,1,quru,117,2016.15,11/10/2016,123.9,,,,,"Kate Aldrich, Sally Bowers",Tori Meakem,,
12101,1,quru,120,2016.15,11/10/2016,NA,,,,,"Kate Aldrich, Sally Bowers",Tori Meakem,,
12259,1,litu,125,2016.15,11/10/2016,30.4,,,,band adjusted,"Kate Aldrich, Sally Bowers",Tori Meakem,,
12270,1,tiam,125,2016.15,11/10/2016,37.94,,,,,"Kate Aldrich, Sally Bowers",Tori Meakem,,
12308,1,caca,126,2016.15,11/10/2016,34.5,,,,band covered in fungus,"Kate Aldrich, Sally Bowers",Tori Meakem,,
12508,1,litu,131,2016.15,11/10/2016,123.7,,,,,"Kate Aldrich, Sally Bowers",Tori Meakem,,
20432,1,fram,204,2016.15,11/10/2016,16.43,,,,New band installed on 04/25/2016,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
20587,1,litu,208,2016.15,11/10/2016,61.1,,,,,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
20603,1,fram,208,2016.15,11/10/2016,116,,,,,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
20617,1,litu,209,2016.15,11/10/2016,149.61,,,,,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
20712,1,litu,212,2016.15,11/10/2016,169.16,,,,"replace band, window too large for calipers","Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
22004,2,litu,217,2016.15,11/10/2016,120.9,,,,,"Kate Aldrich, Sally Bowers",Tori Meakem,,
22041,1,litu,217,2016.15,11/10/2016,156.17,,,,Replace: window too large for calipers,"Kate Aldrich, Sally Bowers",Tori Meakem,,
22170,1,litu,221,2016.15,11/10/2016,13.56,,,,band adjusted,"Kate Aldrich, Sally Bowers",Tori Meakem,,
22333,1,fram,226,2016.15,11/10/2016,47.65,,,,,"Kate Aldrich, Sally Bowers",Tori Meakem,,
30039,1,fram,302,2016.15,11/10/2016,62.72,,,,band adjusted,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
30225,1,qual,306,2016.15,11/10/2016,16.84,,,,From sap flow cluster,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
30233,1,fagr,306,2016.15,11/10/2016,113.95,,,,,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
30234,1,fagr,306,2016.15,11/10/2016,29.68,,,,From sap flow cluster,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
30331,1,cagl,306,2016.15,11/10/2016,25.45,,,,From sap flow cluster,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
30333,1,fagr,306,2016.15,11/10/2016,NA,,,,From sap flow cluster; Replace band,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
30339,1,litu,307,2016.15,11/10/2016,48.07,,,,From sap flow cluster,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
30339,2,litu,307,2016.15,11/10/2016,144.17,,,,From sap flow cluster,"Tori Meakem, Maru Losada, Lauren Brown",Tori Meakem,,
