tag,stemtag,sp,quadrat,survey.ID,exactdate,measure,crown.condition,crown.illum,codes,notes,field.recorders,data.enter,location,area
10469,1,litu,109,2018.14,11/8/2018,124,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
10609,1,cagl,111,2018.14,11/8/2018,79,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
10587,1,litu,113,2018.14,11/8/2018,154,4,5,RD,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
10671,1,quru,114,2018.14,11/8/2018,30,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
12025,1,quru,117,2018.14,11/8/2018,25,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
12259,1,litu,125,2018.14,11/8/2018,47,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
12270,1,tiam,125,2018.14,11/8/2018,62,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
12508,1,litu,131,2018.14,11/8/2018,150,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
20587,1,litu,208,2018.14,11/8/2018,126,3,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
20603,1,fram,208,2018.14,11/8/2018,126,3,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
20617,1,litu,209,2018.14,11/8/2018,28,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
20712,1,litu,212,2018.14,11/8/2018,45,3,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
22004,2,litu,217,2018.14,11/8/2018,144,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
22041,1,litu,217,2018.14,11/8/2018,38,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
22170,1,litu,221,2018.14,11/8/2018,37,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
22333,1,fram,226,2018.14,11/8/2018,57,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
30225,1,qual,306,2018.14,11/8/2018,27,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30233,1,fagr,306,2018.14,11/8/2018,152,4,5,RD,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30234,1,fagr,306,2018.14,11/8/2018,35,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30331,1,cagl,306,2018.14,11/8/2018,36,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30333,1,fagr,306,2018.14,11/8/2018,37,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30339,1,litu,307,2018.14,11/8/2018,71,4,5,M;main,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30339,2,litu,307,2018.14,11/8/2018,33,4,5,S,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30339,3,litu,307,2018.14,11/8/2018,37,4,2,S,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30365,1,fram,308,2018.14,11/8/2018,NA,3,5,DS,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30462,1,litu,313,2018.14,11/8/2018,119,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30512,1,quru,313,2018.14,11/8/2018,6,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30467,1,litu,314,2018.14,11/8/2018,95,2,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
30584,1,quve,316,2018.14,11/8/2018,93,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
32084,1,litu,319,2018.14,11/8/2018,NA,NA,NA,DC,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
32097,1,litu,320,2018.14,11/8/2018,NA,4,5,RD,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
32126,1,litu,321,2018.14,11/8/2018,65,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
32381,1,qupr,327,2018.14,11/8/2018,60,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
32423,1,litu,329,2018.14,11/8/2018,33,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
32540,1,qupr,332,2018.14,11/8/2018,110,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
40562,1,fagr,406,2018.14,11/8/2018,17,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40563,1,fagr,406,2018.14,11/8/2018,16,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40564,1,fagr,406,2018.14,11/8/2018,18,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40565,1,cagl,406,2018.14,11/8/2018,17,2,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40566,1,cagl,406,2018.14,11/8/2018,7,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40567,1,fagr,406,2018.14,11/8/2018,6,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40568,1,fagr,406,2018.14,11/8/2018,111,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40569,1,litu,407,2018.14,11/8/2018,70,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40635,1,cato,408,2018.14,11/8/2018,44,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40941,1,litu,414,2018.14,11/8/2018,NA,4,5,RD,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40942,1,acru,414,2018.14,11/8/2018,93,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
40972,1,litu,415,2018.14,11/8/2018,176,4,5,RD,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,3
42009,1,ploc,417,2018.14,11/8/2018,105,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
42397,1,quru,428,2018.14,11/8/2018,185,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
50160,1,fram,502,2018.14,11/8/2018,23,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
50288,1,quru,505,2018.14,11/8/2018,39.72,4,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
50364,1,qual,507,2018.14,11/8/2018,118.4,3,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
50650,1,litu,514,2018.14,11/8/2018,16,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
50654,1,litu,514,2018.14,11/8/2018,40,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
52087,1,quru,519,2018.14,11/8/2018,116,2,5, ,second stem dead,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
52190,1,quru,522,2018.14,11/8/2018,91,4,5,I,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
60161,1,qupr,608,2018.14,11/8/2018,92.6,4,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
60456,1,caca,614,2018.14,11/8/2018,9,3,1,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60457,1,caca,614,2018.14,11/8/2018,11,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60562,1,fagr,614,2018.14,11/8/2018,49,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60563,1,caca,614,2018.14,11/8/2018,8,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60566,1,fagr,614,2018.14,11/8/2018,91,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60567,1,litu,614,2018.14,11/8/2018,58,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60568,1,caca,614,2018.14,11/8/2018,20,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60569,1,caca,614,2018.14,11/8/2018,11,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60571,1,caca,614,2018.14,11/8/2018,23,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60573,1,tiam,614,2018.14,11/8/2018,28,3,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60458,1,fagr,615,2018.14,11/8/2018,13,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60459,1,fagr,615,2018.14,11/8/2018,16,4,1,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60462,1,fagr,615,2018.14,11/8/2018,63,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60463,1,juni,615,2018.14,11/8/2018,47,3,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60468,1,caca,615,2018.14,11/8/2018,32,4,1,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60469,1,cofl,615,2018.14,11/8/2018,9,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60576,1,caca,615,2018.14,11/8/2018,15,2,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60577,1,litu,615,2018.14,11/8/2018,16,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60578,1,caca,615,2018.14,11/8/2018,15,4,1,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60581,1,litu,615,2018.14,11/8/2018,17,3,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60582,1,quru,615,2018.14,11/8/2018,24,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60586,1,caca,615,2018.14,11/8/2018,7,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60587,1,caca,615,2018.14,11/8/2018,26,4,1,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
60588,1,caco,615,2018.14,11/8/2018,36,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
62128,1,quru,620,2018.14,11/8/2018,110,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
62181,1,quve,621,2018.14,11/8/2018,108,3,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
62224,1,litu,622,2018.14,11/8/2018,117,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
62241,1,litu,623,2018.14,11/8/2018,123,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
62417,1,quve,630,2018.14,11/8/2018,83,3,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
62449,1,qual,632,2018.14,11/8/2018,106,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
62454,1,quve,632,2018.14,11/8/2018,135,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
70216,1,quve,701,2018.14,11/8/2018,139,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
70220,1,qual,702,2018.14,11/8/2018,141,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
70096,1,quru,704,2018.14,11/8/2018,13.72,4,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70278,1,qupr,704,2018.14,11/8/2018,23.12,3,5,RD,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70126,1,quru,705,2018.14,11/8/2018,60.77,4,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70292,1,cagl,705,2018.14,11/8/2018,64.99,4,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70181,1,litu,707,2018.14,11/8/2018,40.02,4,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70352,1,litu,707,2018.14,11/8/2018,96.03,4,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70357,1,cagl,708,2018.14,11/8/2018,10.12,3,3,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70358,1,litu,708,2018.14,11/8/2018,90,3,4,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70433,1,litu,710,2018.14,11/8/2018,133.5,4,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70519,1,qual,711,2018.14,11/8/2018,83.9,3,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70536,1,qual,711,2018.14,11/8/2018,115.91,4,5,,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
70492,1,nysy,714,2018.14,11/8/2018,3,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
70493,1,litu,714,2018.14,11/8/2018,3,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
70494,1,caca,714,2018.14,11/8/2018,18,4,2,M:main,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
70494,2,caca,714,2018.14,11/8/2018,3,4,2,S,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
70495,1,caca,714,2018.14,11/8/2018,28,4,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
70579,1,caco,714,2018.14,11/8/2018,37,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
70581,1,quru,714,2018.14,11/8/2018,18,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
72024,1,quve,717,2018.14,11/8/2018,36,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
72115,1,litu,719,2018.14,11/8/2018,80,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
72116,1,litu,719,2018.14,11/8/2018,131,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
72122,1,caca,719,2018.14,11/8/2018,17,3,2,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
72124,1,quru,719,2018.14,11/8/2018,101,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
72149,1,litu,720,2018.14,11/8/2018,14,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
72210,1,qual,721,2018.14,11/8/2018,129,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
72232,1,qual,722,2018.14,11/8/2018,104,3,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
72248,1,caco,723,2018.14,11/8/2018,68,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,4
72308,1,qual,725,2018.14,11/8/2018,46,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72322,1,litu,726,2018.14,11/8/2018,22,4,3,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72324,1,litu,726,2018.14,11/8/2018,16,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72337,1,quru,727,2018.14,11/8/2018,24,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72348,1,quru,727,2018.14,11/8/2018,145,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72357,1,quru,728,2018.14,11/8/2018,110,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72375,1,litu,728,2018.14,11/8/2018,85,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72377,1,litu,728,2018.14,11/8/2018,135,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72427,1,litu,730,2018.14,11/8/2018,53,4,5,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72447,1,litu,732,2018.14,11/8/2018,53,4,4,,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
72448,1,litu,732,2018.14,11/8/2018,NA,4,4,RD,,"Abigail Ferson, Caroline Kittle",Ian McGregor,North,7
80005,1,fram,801,2018.14,11/8/2018,28,2,4,,"check status, looks unhealthy","Abigail Ferson, Caroline Kittle",Ian McGregor,South,3
80100,1,litu,804,2018.14,11/8/2018,147.42,4,5,RD,,"Alyssa Terrell, Amanda Jean Seglem",Ian McGregor,South,2
