replacement_for,tag,stemtag,sp,quadrat,tag_stemtag,dbh18
20572,20572,1,ulru,207,20572-1,104
20572,112698,1,ulru,1128,112698-1,109
20572,151615,1,ulru,1516,151615-1,110
20572,160671,1,ulru,1604,160671-1,105
20572,171336,1,ulru,1713,171336-1,102
92140,22570,1,cato,230,22570-1,70
92140,72196,1,cato,721,72196-1,62
92140,82071,1,cato,818,82071-1,66
92140,100977,1,cato,1011,100977-1,54
92140,132401,1,cato,1325,132401-1,64
92520,30054,1,ceca,303,30054-1,48
92520,40152,1,ceca,403,40152-1,53
92520,52240,1,ceca,524,52240-1,68
92520,180775,2,ceca,1809,180775-2,63
92520,192612,1,ceca,1926,192612-1,67
122017,112285,1,ceca,1123,112285-1,118
122017,172395,1,ceca,1724,172395-1,128
122017,192713,1,ceca,1932,192713-1,109
122017,201171,1,ceca,2011,201171-1,116
122017,202002,1,ceca,2017,202002-1,116
190755,152647,1,ulru,1529,152647-1,132
190755,162604,1,ulru,1632,162604-1,142
190755,171245,1,ulru,1707,171245-1,133
190755,182462,1,ulru,1829,182462-1,147
190755,192137,1,ulru,1923,192137-1,130
