tag,stemtag,sp,dbh,quadrat,lx,ly,area,location,previous_measure,measure,measure_verified,new.band,codes,notes,survey.ID,year,month,day,field.recorders,data.enter
10671,1,quru,851,114,6.2,14.5,3,South,110.29,110.36,,,RT,,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
22186,1,tiam,370,222,17,7.5,4,North,8.68,9.42,,,,,2022.10,2022,8,2,Erin MacMonigle,Jen Jordan
22198,2,tiam,160,222,16.1,10.9,4,North,14.08,13.82,,,,,2022.10,2022,8,2,Erin MacMonigle,Jen Jordan
22315,1,caco,550,225,11,4,4,North,25.09,25.99,,,,,2022.10,2022,8,2,Erin MacMonigle,Jen Jordan
30233,1,fagr,1072,306,15.6,16.2,3,South,75.51,77.39,,,,,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
30234,1,fagr,81,306,15.3,18.5,3,South,18.79,18.66,,,,,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
30331,1,cagl,231,306,8.3,19.5,3,South,22.07,22.28,,,,Auto Dendrometer,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
30333,1,fagr,222,306,14,19.3,3,South,89.93,91.9,,,RT,Auto Dendrometer,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
30339,1,litu,153.1,307,8.6,4.1,3,South,111.42,114.31,,,"RT, RE",New Band needed,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
30339,2,litu,153.1,307,8.6,4.1,3,South,126.22,129.55,,,RE,New Band Needed,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
30339,3,litu,153.1,307,8.6,4.1,3,South,50.77,51.09,,,,,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
30512,1,quru,845.5,313,2.9,14.3,3,South,68.41,69.5,,,RT,,2022.10,2022,8,4,John Whitmoyer,Jen Jordan
30467,1,litu,608,314,17.3,3,3,South,126.77,128.13,,,,,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
30584,1,quve,873.5,316,2.2,14.4,4,North,107.3,110.51,,,,,2022.10,2022,8,2,Erin MacMonigle,Jen Jordan
32126,1,litu,995.5,321,9.6,5,4,North,127.72,131.54,,,,,2022.10,2022,8,2,Erin MacMonigle,Jen Jordan
32381,1,qupr,834,327,4.6,12.8,4,North,108.51,109.25,,,,,2022.10,2022,8,2,Erin MacMonigle,Jen Jordan
32540,1,qupr,841.8,332,19.9,15.6,4,North,114,114.19,,,,,2022.10,2022,8,2,Erin MacMonigle,Jen Jordan
40562,1,fagr,86,406,6.3,16.2,3,South,12.23,12.27,,,,,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
40563,1,fagr,365,406,3.6,17.8,3,South,90.51,93.17,,,RT,,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
40564,1,fagr,69,406,2.4,12.4,3,South,9.11,9.16,,,RT,,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
40565,1,cagl,184,406,1.9,10.1,3,South,NA,,,,RE,No Window cut out to measure,2022.10,2022,8,2,John Whitmoyer,Jen Jordan
