tag,stemtag,sp,dbh,quadrat,lx,ly,area,location,previous_measure,measure,measure.verified,new.band,codes,notes,survey.ID,year,month,day,field.recorders,data.enter
130348,1,litu,578.3,1302,19.9,1.9,1,South,52.21,63.46,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
140609,1,litu,1081.9,1403,4.3,3.6,1,South,38.3,52.23,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
150781,1,ulru,126,1504,1.2,18.5,1,South,4.87,7.26,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
160713,1,litu,838,1603,10.4,13.7,1,South,81.04,106.33,,,RT,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
160742,1,litu,860,1605,19.3,6.6,1,South,131.09,145.3,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
160814,1,cato,441,1611,14.3,5.7,1,South,9.61,15.05,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
160862,1,ploc,834,1614,12.4,15.2,1,South,100,119.8,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
160910,1,litu,996,1607,8.6,1.1,1,South,26.63,43.14,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
160985,1,litu,873,1612,1.2,17.2,1,South,45.1,53.22,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
170175,1,litu,885,1702,4.7,1.6,1,South,65.83,NA,,,RE,BAND BROKEN,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
170992,1,litu,686.7,1704,12.2,15.2,1,South,126.86,139.46,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
170994,1,litu,555.9,1704,18.4,16.1,1,South,35.91,47.09,,,RT,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
171127,1,litu,737.2,1705,9.3,1.8,1,South,56.09,75.25,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
171245,1,ulru,133,1707,17.3,8.8,1,South,6.33,NA,,,RE,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
171254,1,litu,765,1708,15.3,3.4,1,South,111.31,124.41,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
171257,1,litu,621,1708,12.2,4.5,1,South,100.93,107.05,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
171262,1,litu,616.9,1708,15.9,8.2,1,South,30.75,42.59,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
171348,1,ceca,155.4,1714,19.4,2.4,1,South,11.3,11.55,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
171454,1,caco,118,1714,1.6,13.8,1,South,21.16,26.84,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
171456,1,acru,715,1714,0.8,13.4,1,South,57.98,72.71,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
171462,1,qual,845,1715,7.9,7.5,1,South,65.92,77.31,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
180235,1,litu,1035,1802,11,4.6,1,South,93.76,35.74,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
180648,1,juni,299,1804,7.5,10.9,1,South,2.72,3.19,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
180654,1,litu,332.2,1805,6,0.3,1,South,48.28,67.57,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
180691,1,litu,716,1807,6.2,17.3,1,South,85.65,102.26,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
180728,1,litu,409,1804,3.1,12.7,1,South,51.84,55.45,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
180903,1,litu,327,1808,4.8,2.3,1,South,23.86,27.12,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
180904,1,litu,372.2,1808,2.8,6.5,1,South,69.35,77.43,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
180984,1,litu,923.5,1813,4,11.8,1,South,94,103.25,,,RT,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
180991,1,ploc,936.2,1814,1.5,6.7,1,South,31,36.7,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190065,1,litu,539,1902,18.8,0.4,1,South,27.85,35.11,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190067,1,litu,739,1902,19,2.2,1,South,63.91,75.37,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190071,1,litu,211.6,1902,20,4.3,1,South,30.35,34.36,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190115,1,litu,923.5,1902,4.8,18.6,1,South,15.26,28.13,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190413,1,litu,1001.6,1904,14.7,4.6,1,South,138.52,150.3,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190426,1,litu,1016.2,1904,11,14.2,1,South,108.06,122.09,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190429,1,litu,724.9,1904,12.5,19.1,1,South,130.16,133.94,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190568,1,juni,903,1912,2.6,18.8,1,South,53,69.47,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190655,1,litu,545.6,1907,12.9,16.1,1,South,71.91,80.59,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190658,1,litu,473.2,1907,10.6,16.7,1,South,56.27,62.86,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190670,1,litu,548.9,1908,8,3.2,1,South,88.69,39.34,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190694,1,quru,1265.5,1909,18.2,14.7,1,South,21.14,36.17,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190704,1,caco,209,1910,15.2,4.3,1,South,17.55,25.81,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190793,1,litu,601,1914,12.2,1.3,1,South,28.2,33.73,,,RT,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190794,1,quru,639.8,1914,10.6,1.4,1,South,41,54.43,,,RT,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
190798,1,cagl,269.3,1914,12.5,8.4,1,South,16.01,19.04,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200142,1,litu,604,2002,1.3,3.5,1,South,36.59,45.23,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200151,1,litu,669.3,2002,6.9,4,1,South,82.56,95.22,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200547,1,litu,654,2005,2.6,1.1,1,South,22.05,28.9,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200551,1,litu,576,2005,1,5.3,1,South,8.17,14.67,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200577,1,juni,535.2,2007,8.8,9.6,1,South,6.12,NA,,,RE,NO WINDOW TO MEASURE,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200586,1,juni,453,2007,2,13.9,1,South,18.3,24,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200676,1,litu,869.1,2008,12.2,5.9,1,South,24.42,31.75,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200812,1,juni,548,2008,8,1.2,1,South,46.97,48.59,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200818,1,litu,344.5,2008,4.4,3.9,1,South,17.05,19.07,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
200822,1,litu,820,2008,8.7,10.3,1,South,9.34,26,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
201171,1,ceca,116,2011,8.7,9.4,1,South,12.01,13.58,,,BA,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
201180,1,caco,125,2011,10.5,14.6,1,South,14.98,23.55,,,RT,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
201207,1,litu,1310.5,2012,10,17.3,1,South,9.98,28.64,,,"BA, RT",,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
201261,1,juni,492,2013,0.3,17.3,1,South,37.62,46.74,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
201264,1,litu,419.1,2014,0.3,6.8,1,South,80.45,87.66,,,BA,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
201274,1,litu,606.8,2014,5.3,8.9,1,South,21.59,26.86,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
201278,1,litu,641.8,2014,2.2,11.8,1,South,30.28,36.4,,,,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
201279,1,quru,446.3,2014,1.9,13,1,South,13.86,31.72,,,RT,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
201331,1,qupr,432,2015,14.3,9.5,1,South,33.85,38.65,,,RT,,2023.11,2023,11,16,John Whitmoyer,Jessica Shue
40465,1,qupr,451,404,8.2,12.5,2,South,74.17,91.3,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
50288,1,quru,877.7,505,10.8,10.6,2,South,57.56,59.21,,,DS,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
50364,1,qual,661.9,507,4.2,18.1,2,South,21.69,28.66,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
60266,1,cato,496,604,5.5,9.2,2,South,20.22,24.51,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
60161,1,qupr,867,608,17.5,14.1,2,South,109.15,107.25,,,DS?,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70096,1,quru,893,704,3.3,12.7,2,South,62.05,NA,,,RE,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70278,1,qupr,679.8,704,15.6,15.4,2,South,71.64,83,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70126,1,quru,821,705,9.3,12.5,2,South,125.04,145.68,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70292,1,cagl,456.3,705,14.6,2.1,2,South,79.98,87.13,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70146,1,quve,662,706,8.8,7.2,2,South,20.9,24.98,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70352,1,litu,751.1,707,20,11,2,South,117.87,123.58,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70358,1,litu,363.8,708,18.1,2.3,2,South,25.76,32.43,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70433,1,litu,716.9,710,11.4,13.8,2,South,34.03,46.1,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70536,1,qual,599,711,11.9,7.4,2,South,35.31,44.58,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70519,1,qual,544.8,711,15.5,3.3,2,South,98.66,101.03,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
70579,1,caco,236.1,714,19.2,4.3,2,South,44.21,48.69,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
80100,1,litu,582,804,3.4,12.6,2,South,70.26,81.1,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
80180,1,cato,1015,804,11.6,5.6,2,South,48.7,55.06,,,BA,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
80401,1,caco,469,807,7.4,19.4,2,South,44.99,49.65,,,,,2023.11,2023,11,16,Jen Jordan,Jessica Shue
