tag,stemtag,sp,dbh,quadrat,lx,ly,area,location,spring_measure,measure,measure.verified,codes,new.band,notes,field.recorders,data.enter,survey.ID,year,month,day
130348,1,litu,578.3,1302,19.9,1.9,1,South,66.27,,,,,,,,2024.11,2024,11,
140609,1,litu,1081.9,1403,4.3,3.6,1,South,56.8,,,,,,,,2024.11,2024,11,
150781,1,ulru,126,1504,1.2,18.5,1,South,7.35,,,,,,,,2024.11,2024,11,
160713,1,litu,838,1603,10.4,13.7,1,South,105.92,,,,,,,,2024.11,2024,11,
160742,1,litu,860,1605,19.3,6.6,1,South,8.06,,,,,,,,2024.11,2024,11,
160814,1,cato,441,1611,14.3,5.7,1,South,13.06,,,,,,,,2024.11,2024,11,
160862,1,ploc,834,1614,12.4,15.2,1,South,120.15,,,,,,,,2024.11,2024,11,
160910,1,litu,996,1607,8.6,1.1,1,South,46.83,,,,,,,,2024.11,2024,11,
170175,1,litu,885,1702,4.7,1.6,1,South,11.36,,,,,,,,2024.11,2024,11,
170992,1,litu,686.7,1704,12.2,15.2,1,South,8.23,,,,,,,,2024.11,2024,11,
170994,1,litu,555.9,1704,18.4,16.1,1,South,47.65,,,,,,,,2024.11,2024,11,
171127,1,litu,737.2,1705,9.3,1.8,1,South,76.29,,,,,,,,2024.11,2024,11,
171245,1,ulru,133,1707,17.3,8.8,1,South,NA,,,,,confirm dead,,,2024.11,2024,11,
171254,1,litu,765,1708,15.3,3.4,1,South,123.99,,,,,,,,2024.11,2024,11,
171257,1,litu,621,1708,12.2,4.5,1,South,107.86,,,,,,,,2024.11,2024,11,
171262,1,litu,616.9,1708,15.9,8.2,1,South,87.02,,,,,,,,2024.11,2024,11,
171348,1,ceca,155.4,1714,19.4,2.4,1,South,11.72,,,,,,,,2024.11,2024,11,
171454,1,caco,118,1714,1.6,13.8,1,South,26.6,,,,,,,,2024.11,2024,11,
171456,1,acru,715,1714,0.8,13.4,1,South,77.98,,,,,,,,2024.11,2024,11,
171462,1,qual,845,1715,7.9,7.5,1,South,78.69,,,,,,,,2024.11,2024,11,
180235,1,litu,1064,1802,11,4.6,1,South,34.13,,,,,,,,2024.11,2024,11,
180648,1,juni,299,1804,7.5,10.9,1,South,3,,,,,,,,2024.11,2024,11,
180654,1,litu,332.2,1805,6,0.3,1,South,66.53,,,,,,,,2024.11,2024,11,
180691,1,litu,716,1807,6.2,17.3,1,South,102.38,,,,,,,,2024.11,2024,11,
180728,1,litu,409,1804,3.1,12.7,1,South,55.55,,,,,,,,2024.11,2024,11,
180903,1,litu,327,1808,4.8,2.3,1,South,27.46,,,,,,,,2024.11,2024,11,
180904,1,litu,372.2,1808,2.8,6.5,1,South,77.46,,,,,,,,2024.11,2024,11,
180948,1,qupr,134,1811,1,9.5,1,South,13.42,,,,,,,,2024.11,2024,11,
180984,1,litu,923.5,1813,4,11.8,1,South,104.74,,,,,,,,2024.11,2024,11,
180991,1,ploc,936.2,1814,1.5,6.7,1,South,37.33,,,,,,,,2024.11,2024,11,
190065,1,litu,539,1902,18.8,0.4,1,South,35.91,,,,,,,,2024.11,2024,11,
190067,1,litu,739,1902,19,2.2,1,South,74.96,,,,,,,,2024.11,2024,11,
190071,1,litu,211.6,1902,20,4.3,1,South,34.94,,,,,,,,2024.11,2024,11,
190115,1,litu,923.5,1902,4.8,18.6,1,South,29.33,,,,,,,,2024.11,2024,11,
190413,1,litu,1001.6,1904,14.7,5.6,1,South,16.53,,,,,,,,2024.11,2024,11,
190426,1,litu,1016.2,1904,11,16,1,South,120.7,,,,,,,,2024.11,2024,11,
190429,1,litu,724.9,1904,12.5,19.1,1,South,13.13,,,,,,,,2024.11,2024,11,
190568,1,juni,903,1912,2.6,18.8,1,South,69.64,,,,,,,,2024.11,2024,11,
190655,1,litu,545.6,1907,12.9,16.1,1,South,83.54,,,,,,,,2024.11,2024,11,
190658,1,litu,473.2,1907,10.6,16.7,1,South,63.7,,,,,,,,2024.11,2024,11,
190670,1,litu,572,1908,8,3.2,1,South,39.68,,,,,,,,2024.11,2024,11,
190694,1,quru,1265.5,1909,18.2,14.7,1,South,35.88,,,,,,,,2024.11,2024,11,
190704,1,caco,209,1910,15.2,4.3,1,South,23.82,,,,,,,,2024.11,2024,11,
190793,1,litu,601,1914,12.2,1.3,1,South,35.41,,,,,,,,2024.11,2024,11,
190794,1,quru,639.8,1914,10.6,1.4,1,South,54.76,,,,,,,,2024.11,2024,11,
190798,1,cagl,269.3,1914,12.5,8.4,1,South,18.64,,,,,,,,2024.11,2024,11,
200142,1,litu,604,2002,1.3,3.5,1,South,45.03,,,,,,,,2024.11,2024,11,
200151,1,litu,669.3,2002,6.9,4,1,South,96.64,,,,,,,,2024.11,2024,11,
200547,1,litu,654,2005,2.6,1.1,1,South,29.44,,,,,,,,2024.11,2024,11,
200551,1,litu,576,2005,1,5.3,1,South,15.54,,,,,,,,2024.11,2024,11,
200577,1,juni,548,2007,6.1,9.6,1,South,7.7,,,,,,,,2024.11,2024,11,
200586,1,juni,453,2007,2,13.9,1,South,23.36,,,,,,,,2024.11,2024,11,
