tag,StemTag,sp,dbh,quadrat,lx,ly,area,location,previous_measure,measure,measure.verified,new.band,codes,notes,field.recorders,data.enter,survey.ID,year,month,day
100498,1,caco,163,1003,16.7,14.2,2,South,40.84,40.6,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100516,1,litu,1089,1004,17.9,2.3,2,South,25.8,25.74,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100562,1,litu,669,1004,9.1,19.2,2,South,57.49,59.13,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100612,1,litu,1276,1003,12,4.4,2,South,97.93,100.91,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100754,1,quru,461,1005,3.8,6.8,2,South,86.64,87.11,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100771,1,quru,1020,1005,8.5,17,2,South,96.52,90.06,89.77,,,JS verified,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100905,1,litu,693,1008,10,1.6,2,South,64.57,65.74,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100906,1,litu,506,1008,9.3,1.1,2,South,44.55,45.02,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100955,1,quru,314,1010,16.7,6.8,2,South,33.17,33.07,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100960,1,quru,650,1010,13.8,10.5,2,South,53.05,53.9,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
100963,1,caovl,208,1010,11.1,14.7,2,South,28.79,27.92,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
101008,1,tiam,190,1006,4.2,11.6,2,South,37.22,37.29,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
101075,1,qupr,373,1008,3,13.1,2,South,19.62,18.81,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
101111,1,litu,106,1011,0.1,1.3,2,South,45.72,45.87,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
101118,1,litu,236,1011,0.3,3,2,South,68.72,69.1,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
101223,1,qupr,694,1013,9.4,17.8,3,South,94.77,94.79,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,17
102148,1,cato,253,1019,2,15.4,5,North,28.28,27.4,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102149,1,cagl,72,1020,1.4,0.2,5,North,10.04,9.78,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102150,1,qual,506,1020,4.3,2.1,5,North,15.97,16.34,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102154,1,qual,517,1020,5.4,8.5,5,North,27.28,24.53,,,"BA, RE",,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102163,1,cato,103,1020,14.3,14.8,5,North,13.76,11.88,11.82,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102177,1,qual,735,1020,3.4,11.7,5,North,35.44,36.36,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102199,1,cagl,487,1021,1.3,8,5,North,31.12,31.97,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102258,1,qual,435,1022,10.3,17.4,5,North,26.38,26.87,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102261,1,qual,687,1022,5.3,20,5,North,83.09,83.66,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102262,1,qual,543,1022,1.8,20,5,North,119.76,120.14,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102264,1,qual,404,1022,1.5,14.2,5,North,71.52,72.06,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102303,1,quve,924,1024,8.2,0.9,5,North,52.27,54.28,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
102348,1,qual,900,1025,16.5,11.5,7,North,87.83,87.2,87.24,,RE,two springs,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,19
102364,1,qual,658,1025,2.1,18,7,North,23.76,24.75,,,,fungus on trunk,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,19
102371,1,qual,808,1026,1.6,6.6,7,North,0,14.33,,1,,"82.1, 81.5, 1.45","Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,19
102438,1,litu,473,1028,8.5,16.6,7,North,122.88,123.7,,,,,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,18
102438,2,litu,476,1028,8.5,16.6,7,North,0,23.76,,1,,new spring installed,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,19
102441,1,litu,520,1029,1.3,3,7,North,117.8,118.18,,,,,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,18
102443,1,litu,518,1029,4.1,7,7,North,88.44,89.75,,,,,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,18
102444,1,litu,685,1029,4.3,5.3,7,North,136.36,138.02,,,,,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,18
102446,1,litu,501,1029,0.5,3.7,7,North,89.34,96.06,,,,,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,18
102446,2,litu,273,1029,0.5,3.7,7,North,35.91,36.56,,,,,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,18
102501,1,litu,657,1031,9.8,17.3,7,North,36.13,38.15,,,,,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,18
102502,1,ulru,140,1031,0.1,18.6,7,North,7.54,7.39,,,,,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,18
102509,1,quve,924,1032,9.6,0.9,7,North,43.61,44.08,,,,,"Bill McShea, Claire Watson",Jessica Shue,2026.01,2026,3,18
10469,1,litu,931,109,9.7,1,3,South,0,15.1,,1,,"94.4, 93.0, 1.5 from paint",Jen Jordan,Jessica Shue,2026.01,2026,3,18
10587,1,litu,1002,113,2.6,13,3,South,129.01,126.67,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
10609,1,cagl,444,111,19.5,2.9,3,South,28.58,31.64,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
10643,1,fagr,693,112,0.6,13,3,South,41.41,35.63,35.67,,,accidentally moved point,Jen Jordan,Jessica Shue,2026.01,2026,3,18
10669,1,cagl,811,114,6.1,12.3,3,South,28.65,26.89,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
10671,1,quru,930,114,6.2,14.5,3,South,54.44,52.83,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
110061,1,litu,1213,1101,17,10,2,South,59.01,59.95,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
110526,1,ceca,153,1103,15.1,3,2,South,33.02,33.48,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
110680,1,litu,715,1104,2,6.5,2,South,78.41,77.46,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
110788,1,litu,670,1104,19.9,11.7,2,South,45.73,46.91,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
110791,1,litu,666,1104,11.3,10,2,South,37.07,37.59,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
110798,1,litu,750,1104,16,15.5,2,South,90.55,91.59,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
110901,1,litu,562,1105,20,4.1,2,South,19.96,20.09,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
111014,1,litu,698,1107,13.9,12.2,2,South,46.75,47.97,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
111030,1,litu,623,1107,15.1,19.9,2,South,18.29,17.98,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
111032,1,litu,622,1107,10.3,19,2,South,91.7,93.36,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
111032,2,litu,440,1107,10.3,19,2,South,79.75,81.05,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
111039,1,litu,473,1108,19.7,4.1,2,South,42.43,42.81,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
111092,1,litu,599,1110,18.3,17.7,2,South,97.45,98.28,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
111093,1,litu,510,1110,13.4,16.4,2,South,23.95,25.35,,,,,Brigit Rooney,Jessica Shue,2026.01,2026,3,18
111305,1,caovl,234,1113,4.7,19.3,3,South,4.54,3.28,3.32,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,17
112014,1,cagl,515,1117,18,11.2,5,North,18.28,15.81,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
112057,1,acru,728,1117,8.8,4.2,5,North,18.02,17.79,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
112130,1,qual,149,1119,17.2,18.3,5,North,13.11,13.49,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
112136,1,pist,315,1120,13.9,2.5,5,North,101.81,102.15,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
112137,1,qual,607,1120,13.4,3.9,5,North,105.33,105.75,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
112142,1,qual,418,1120,16,3.5,5,North,14.85,14.92,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
112192,1,quve,345,1121,9.1,13.1,5,North,11.33,10.71,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
112250,1,pist,470,1122,10.8,18.4,5,North,37.02,35.79,,,,,Jen Jordan,Jessica Shue,2026.01,2026,3,18
