tag,StemTag,sp,dbh,quadrat,lx,ly,area,location,previous_measure,measure,measure_verified,new.band,codes,notes,field.recorders,data.enter,survey.ID,year,month,day
100771,1,quru,1020,1005,8.5,17,2,South,90.06,96.57,9.69,,BA,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
100905,1,litu,693,1008,10,1.6,2,South,65.74,63.89,63.85,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
101008,1,tiam,190,1006,4.2,11.6,2,South,37.29,37.34,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
101223,1,qupr,694,1013,9.4,17.8,3,South,94.79,97.37,97.31,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
102148,1,cato,253,1019,2,15.4,5,North,27.4,28.22,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
102264,1,qual,404,1022,1.5,14.2,5,North,72.06,73.58,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
102303,1,quve,924,1024,8.2,0.9,5,North,54.28,57.57,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
102348,1,qual,900,1025,16.5,11.5,7,North,87.2,91.58,91.6,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
102364,1,qual,658,1025,2.1,18,7,North,24.75,25.37,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
10669,1,cagl,811,114,6.1,12.3,3,South,26.89,29.82,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
10671,1,quru,930,114,6.2,14.5,3,South,52.83,59.26,59.21,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
110061,1,litu,1213,1101,17,10,2,South,59.95,58.36,58.31,,,BT; band removed,Jessica Shue,Jessica Shue,2026.02,2026,5,1
110788,1,litu,670,1104,19.9,11.7,2,South,46.91,45.18,45.06,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
110791,1,litu,666,1104,11.3,10,2,South,37.59,36.33,36.32,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
110901,1,litu,562,1105,20,4.1,2,South,20.09,18.61,18.62,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
111030,1,litu,623,1107,15.1,19.9,2,South,17.98,17.9,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
112136,1,pist,315,1120,13.9,2.5,5,North,102.15,107.06,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
112250,1,pist,470,1122,10.8,18.4,5,North,35.79,40.42,40.64,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
112482,1,litu,271,1131,17.8,15.9,8,North,25.21,25.07,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
120781,1,litu,637,1205,3,2.2,2,South,29.55,27.64,27.67,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
121195,1,quru,974,1211,12.4,0.4,2,South,38.68,46.19,46.2,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
121221,1,litu,120,1207,1.7,19.3,2,South,12.05,11.91,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
121275,1,qupr,260,1209,1.7,16.9,2,South,36.1,36.89,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
121301,1,caovl,257,1211,1.2,2.5,2,South,27.68,28.31,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
121305,1,quru,793,1211,1.1,11.2,2,South,50.31,50.51,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
121374,1,juni,378,1216,0.7,18.5,5,North,22.17,22.89,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
122006,1,acru,452,1217,9.9,8.3,5,North,46.28,46.29,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
122009,1,acru,303,1217,1.2,4.1,5,North,47.38,47.82,,,,previously topped,Jessica Shue,Jessica Shue,2026.02,2026,5,1
122136,1,quru,666,1220,5.5,7.6,5,North,51.1,55.76,55.72,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
122184,1,pist,246,1222,2.9,13.9,5,North,28.38,29.39,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
122189,1,qual,708,1222,5.5,19.5,5,North,23.02,25.66,25.66,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
122303,1,qual,664,1223,1.9,8.5,5,North,24.36,25.99,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
122343,1,qual,660,1225,10.7,14.4,8,North,63.16,66.37,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
122427,1,qual,875,1227,17,15.6,8,North,105.73,109.36,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
122482,1,litu,596,1228,14.5,2.4,8,North,22.59,22.47,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
130838,1,litu,693,1305,12.2,1,2,South,101.34,99.49,99.59,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
131087,1,quru,712,1310,17.3,17.8,2,South,132.25,137.51,,,RE,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
131239,1,quru,651,1314,19.5,5.7,3,South,12.3,22.01,22.1,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
131364,1,acru,487,1316,12,12.9,5,North,113.72,113.85,,,RE,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
132077,1,qual,649,1319,9.9,15.9,5,North,45.05,50.09,50.13,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
132539,1,litu,640,1331,15,15.9,8,North,88.91,93.15,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
140825,1,litu,542,1411,8,5.9,2,South,87.74,85.84,85.91,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
142380,1,qual,611,1425,6.8,13.1,8,North,93.38,96.98,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
142521,1,pist,508,1422,6.4,11.1,5,North,40.47,43.23,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
142708,1,juni,428,1429,4.3,6.2,8,North,7.99,6.88,6.91,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
142729,1,litu,487,1431,4.7,14.7,8,North,83.01,82.43,82.38,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
160910,1,litu,1039,1607,8.6,1.1,1,South,73.11,70.56,70.56,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
162024,1,quve,297,1618,9.7,9.7,6,North,19.59,20.58,,,,,Jessica Shue,Jessica Shue,2026.02,2026,5,1
