tag,StemTag,sp,dbh,quadrat,lx,ly,area,location,previous_measure,measure,measure_verified,new.band,codes,notes,field.recorders,data.enter,survey.ID,year,month,day,diff
100771,1,quru,1020,1005,8.5,17,2,South,101.18,105.97,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,4.789999999999992
100905,1,litu,693,1008,10,1.6,2,South,65.4,68.02,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.6199999999999903
101008,1,tiam,190,1006,4.2,11.6,2,South,39.58,43.29,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.710000000000001
101223,1,qupr,694,1013,9.4,17.8,3,South,100.54,103.96,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,3.4199999999999875
102148,1,cato,253,1019,2,15.4,5,North,28.39,28.8,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.41000000000000014
102264,1,qual,404,1022,1.5,14.2,5,North,74.07,74.88,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.8100000000000023
102303,1,quve,924,1024,8.2,0.9,5,North,63.5,65.48,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.980000000000004
102348,1,qual,900,1025,16.5,11.5,7,North,92.91,95.52,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.6099999999999994
102364,1,qual,658,1025,2.1,18,7,North,25.14,25.84,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,0.6999999999999993
10669,1,cagl,811,114,6.1,12.3,3,South,34.64,35.71,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,1.0700000000000003
110788,1,litu,670,1104,19.9,11.7,2,South,47.68,50.67,,,,,"Cody Konfrst, Charlie Shivers",Jessica Shue,2026.06,2026,6,25,2.990000000000002
