tag,stemtag,sp,quadrat,survey.ID,measure,codes,notes,field.recorders,caliper_limit,dead,marked_replace,any
12270,1,tiam,125,2021.11,NA,Q,"band gone, broken stem",Jen Jordan,NA,TRUE,FALSE,TRUE
20603,1,fram,208,2021.11,123.43,DS,NA,Jen Jordan,FALSE,TRUE,FALSE,TRUE
22333,1,fram,226,2021.01,42.32,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE,TRUE
22333,1,fram,226,2021.11,41.68,DS,NA,Jen Jordan,FALSE,TRUE,FALSE,TRUE
40465,1,qupr,404,2021.11,52.43,RE,NA,Nate Looker,FALSE,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.02,NA,RE,replace tag and dendroband,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",NA,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.03,NA,RE,replace tag and dendroband,Brianna Calkins,NA,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.04,NA,RE,replace tag and dendroband,Brianna Calkins,NA,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.05,NA,RE,NA,Jen Jordan,NA,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.06,NA,RE,replace tag and dendroband,Brianna Calkins,NA,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.07,NA,RE,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",NA,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.08,NA,RE,NA,Jen Jordan,NA,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.09,NA,RE,"needs tag, embedded band",Jen Jordan,NA,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.1,NA,RE,"needs tag, embedded band",Jen Jordan,NA,FALSE,TRUE,TRUE
40564,1,fagr,406,2021.11,NA,RE,embedded band,Jen Jordan,NA,FALSE,TRUE,TRUE
50160,1,fram,502,2021.01,15.38,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE,TRUE
50160,1,fram,502,2021.11,14.67,DS,no tag,Jen Jordan,FALSE,TRUE,FALSE,TRUE
60410,1,fram,610,2021.11,40.15,DS,few epicormic branches low on stem,Jen Jordan,FALSE,TRUE,FALSE,TRUE
60562,1,fagr,614,2021.01,7.54,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE,TRUE
60562,1,fagr,614,2021.07,4.72,DS,complete defoliation,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",FALSE,TRUE,FALSE,TRUE
60562,1,fagr,614,2021.11,5.63,DS,NA,Jen Jordan,FALSE,TRUE,FALSE,TRUE
60569,1,caca,614,2021.01,2.33,NA,NA,"Bill McShea, Jessica Shue",TRUE,NA,NA,TRUE
60569,1,caca,614,2021.02,2.23,NA,NA,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",TRUE,NA,NA,TRUE
60571,1,caca,614,2021.07,23.4,DC,dead on ground,"Brianna Calkins, Teagan Rogers, Jennifer Jordan",FALSE,TRUE,FALSE,TRUE
60571,1,caca,614,2021.08,NA,DC,dead,Jen Jordan,NA,TRUE,FALSE,TRUE
60571,1,caca,614,2021.09,24.45,DC,"on ground, still has green leaves",Jen Jordan,FALSE,TRUE,FALSE,TRUE
60571,1,caca,614,2021.1,23,DC,"on ground, leaves present & yellow",Jen Jordan,FALSE,TRUE,FALSE,TRUE
60571,1,caca,614,2021.11,NA,DC,NA,Jen Jordan,NA,TRUE,FALSE,TRUE
62454,1,quve,632,2021.11,2.65,NA,NA,Bill McShea,TRUE,NA,NA,TRUE
70181,1,litu,707,2021.11,110.54,RE,NA,Nate Looker,FALSE,FALSE,TRUE,TRUE
70357,1,cagl,708,2021.01,NA,DC,"lx=19.5, ly=0","Bill McShea, Jessica Shue",NA,TRUE,FALSE,TRUE
70357,1,cagl,708,2021.11,NA,DC,NA,Nate Looker,NA,TRUE,FALSE,TRUE
80005,1,fram,801,2021.01,19.94,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE,TRUE
80005,1,fram,801,2021.11,21.14,DS,NA,Jen Jordan,FALSE,TRUE,FALSE,TRUE
80398,1,caco,807,2021.01,NA,DC,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE,TRUE
80398,1,caco,807,2021.11,NA,DC,NA,Nate Looker,NA,TRUE,FALSE,TRUE
80554,1,caovl,813,2021.11,130.96,RE,needs new tag,Nate Looker,FALSE,FALSE,TRUE,TRUE
90043,1,quve,901,2021.11,102.74,RE,band irregular & didn’t adjust/ measurement error likely,Nate Looker,FALSE,FALSE,TRUE,TRUE
90530,1,litu,910,2021.01,78.305,I,adjusted,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE,TRUE
90660,1,quru,913,2021.11,142.02,RE,NA,Nate Looker,FALSE,FALSE,TRUE,TRUE
91435,1,litu,907,2021.01,NA,DC,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE,TRUE
91435,1,litu,907,2021.11,NA,DC,NA,Nate Looker,NA,TRUE,FALSE,TRUE
92139,1,quru,920,2021.01,38.25,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE,TRUE
92139,1,quru,920,2021.11,37.91,DS,NA,Jen Jordan,FALSE,TRUE,FALSE,TRUE
92140,1,cato,920,2021.11,NA,RE,not found (found a cato with no tag or band),Jen Jordan,NA,FALSE,TRUE,TRUE
100011,1,fram,1001,2021.01,94.28,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE,TRUE
100011,1,fram,1001,2021.11,96.73,DS,NA,Jen Jordan,FALSE,TRUE,FALSE,TRUE
101310,1,fram,1016,2021.01,89.99,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE,TRUE
101310,1,fram,1016,2021.11,89.37,DS,NA,Jen Jordan,FALSE,TRUE,FALSE,TRUE
101312,1,fram,1016,2021.01,NA,DS,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE,TRUE
101312,1,fram,1016,2021.11,NA,DN,NA,Jen Jordan,NA,TRUE,FALSE,TRUE
102365,1,litu,1025,2021.01,66.05,RE,NA,"Bill McShea, Jessica Shue",FALSE,FALSE,TRUE,TRUE
102365,1,litu,1025,2021.11,73.05,RE,NA,Nate Looker,FALSE,FALSE,TRUE,TRUE
111029,1,litu,1107,2021.01,NA,DC,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE,TRUE
111029,1,litu,1107,2021.11,NA,DC,NA,Nate Looker,NA,TRUE,FALSE,TRUE
111041,1,quru,1108,2021.11,32.84,RE,NA,Nate Looker,FALSE,FALSE,TRUE,TRUE
