SITE,YEAR,TREE_ID,BAND_NUM,UNIQUE_ID,SP,L,K,doyip,r,theta,a,b,r.squared,ts.sd,alt.a,WD,RGR,GR,Max.growth.day,Max.growth.rate,Size.a,Size.alt.a,Start.g,Stop.g,Median.g,DOY.05,DOY.95,DOY.10,DOY.90,GS_Length,GS.90,GS.80
SCBI,2010,1609,1,1609,quru,NA,NA,NA,NA,NA,NA,NA,-99,NA,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCBI,2011,1609,1,1609,quru,83.0238130246013,83.8014637829651,151.096995462525,0.00812659724453874,0.258903436052161,83.1268996283941,80.9690851319434,0.141935341374109,0.241034357647804,NA,NA,-0.0263009346052456,-2.1578144964507,317,0.00157990772336802,83.1268996283941,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCBI,2012,1609,2,1609,quru,83.442094247105,83.9903886608476,193.50310388923,0.0387388988508208,9.29527566222743,83.4464001359803,83.9903886608476,0.790553261884892,0.196148342385783,80.9690851319434,-0.929455344498013,0.00649786039026701,0.543988524867302,136,0.00530990965866351,83.4464001359803,80.9690851319434,11,Inf,136,64,212,81,193,Inf,148,112
SCBI,2013,1609,2,1609,quru,83.9715341677405,84.3628524701593,181.686474673194,0.0467718273743001,2.03334912155607,83.9922383017203,84.3628524701593,0.995838774956769,0.154382988870433,83.9903886608476,-0.508667005812948,0.00440277469980987,0.370614168438991,167,0.00457486651511374,83.9922383017203,83.9903886608476,105,Inf,169,120,231,129,215,Inf,111,86
SCBI,2014,1609,2,1609,quru,84.327659199524,84.9333986511066,159.082050769361,0.0388783543437067,0.949717631431177,84.356477538983,84.9258290331456,0.98072261825275,0.217801440519386,84.3628524701593,-2.187726203718,0.00672667631405766,0.569351494162603,160,0.00588698071911153,84.356477538983,84.3628524701593,83,273,162,102,231,114,215,190,129,101
SCBI,2015,1609,2,1609,quru,84.8695942537593,85.4432085753949,182.845440269977,0.0318710018392755,2.06929994309206,84.9152932537064,85.4410357079145,0.997878186249783,0.1811765765099,84.9258290331456,-1.13306043358975,0.00617228754010313,0.5257424542081,160,0.00457031814106301,84.9152932537064,84.9258290331456,83,335,165,99,253,111,231,252,154,120
SCBI,2016,1609,2,1609,quru,84.8695942537593,85.4432085753949,182.845440269977,0.0318710018392755,2.06929994309206,84.9152932537064,85.4410357079145,0.997878186249783,NA,85.4410357079145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCBI,2016,1609,3,1609,quru,85.3767927978953,85.8608513277071,175.057815509341,0.0220218596421671,0.885697959114904,85.4851540602327,85.853188588139,0.956302998014342,0.118894113210207,85.4410357079145,0.429510192115673,0.0042960038978288,0.368034527906303,181,0.00266488047046209,85.4851540602327,85.4410357079145,124,368,200,134,311,142,285,244,177,143
SCBI,2017,1609,3,1609,quru,85.3767927978953,85.8608513277071,175.057815509341,0.0220218596421671,0.885697959114904,85.4851540602327,85.853188588139,0.956302998014342,0.0942443407589789,85.853188588139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCBI,2017,1609,4,1609,quru,85.3767927978953,85.8608513277071,175.057815509341,0.0220218596421671,0.885697959114904,85.4851540602327,85.853188588139,0.956302998014342,0.0225837924318567,85.853188588139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCBI,2018,1609,4,1609,quru,85.7758440282456,86.7608081136279,156.944108782927,0.0192891762821642,1.54738342623404,86.0885147615477,86.7370989488653,0.994708781395637,0.220691700512492,85.853188588139,0.492527650339081,0.0075056841198311,0.648584187317596,134,0.00474970679660203,86.0885147615477,85.853188588139,95,326,166,102,280,110,254,231,178,144
SCBI,2019,1609,4,1609,quru,85.7758440282456,86.7608081136279,156.944108782927,0.0192891762821642,1.54738342623404,86.0885147615477,86.7370989488653,0.994708781395637,0.228201632521729,86.7370989488653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
