"sp","ANPP.ANPP_Mg.C.ha1.y1_10cm","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm","ANPP.ratio"
"acru",0.0138798621239298,7,0,277,715,489.2,504.327776277513
"caca",0.00189181880886128,15,14,60,116,79.5,7928.87771796115
"caco",0.05460466082926,6,1,193.4,446.7,306.1,109.880730122307
"cagl",0.102618133647736,27,3,66.2,617,288,263.111392112087
"caovl",0.0312193649117449,3,0,241.3,552,427.5,96.0942033408048
"cato",0.0552451106836312,6,0,55.1,993.4,323.2,108.606896171497
"ceca",0.00458452787270601,1,0,155.4,155.4,155.4,218.124968975214
"cofl",0.000110155681770555,1,1,70,70,70,9078.06101262135
"fagr",0.0403838731420757,14,13,57.8,1046.8,227.1,346.673038287987
"fram",0.106725439433228,32,0,145.7,1072.1,627.4,299.834792622433
"juni",0.0601477071522019,12,1,310.4,903,501.3,199.508851927379
"litu",1.29502095776696,229,43,96.2,1422.3,597.8,176.831115069266
"nysy",0.00843527034601336,9,1,89.2,434.6,221.5,1066.94861347906
"pist",0.00716682710129407,6,0,149.3,452,292.8,837.190560787579
"ploc",0.011837583184767,5,0,576.8,961.6,783.4,422.383515448843
"qual",0.305343601894457,53,33,147.8,1031.9,608.5,173.574948586346
"qupr",0.136027303972739,10,0,256,867,627.4,73.5146526318281
"quru",0.288174442622709,51,35,113.5,1483,720.2,176.976138257935
"quve",0.192483990827057,31,0,422.5,1520,819.5,161.052354883128
"tiam",0.0246537531835119,2,1,258.5,280.7,269.6,81.1235508489463
"ulru",0.00508439594894678,3,0,106.5,246,159.5,590.040592849863
