"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",8,0,162,715,448.3
"caca",18,15,60,116,80.6
"caco",10,2,193.4,446.7,306.1
"cagl",28,3,66.2,617,295.3
"caovl",3,0,241.3,552,427.5
"cato",8,0,55.1,993.4,323.2
"ceca",4,0,155.4,155.4,155.4
"cofl",1,1,70,70,70
"fagr",14,13,57.8,1046.8,227.1
"fram",38,0,145.7,1072.1,631.4
"juni",12,1,310.4,903,504.1
"litu",236,43,96.2,1422.3,604.8
"nysy",10,1,89.2,434.6,221.5
"pist",6,0,149.3,452,292.8
"ploc",5,0,576.8,961.6,783.4
"qual",57,37,147.8,1031.9,608.5
"qupr",10,0,256,867,630.7
"quru",61,38,113.5,1483,720.2
"quve",37,0,422.5,1520,814.5
"rops",1,0,NA,NA,NA
"saal",1,0,NA,NA,NA
"tiam",2,1,258.5,280.7,269.6
"ulru",9,0,106.5,246,159.5
"Sum",579,155,NA,NA,NA
