"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",8,4,153,715,484.2
"caca",11,4,60,99.5,79.4
"caco",10,4,118,550,259.4
"cagl",28,4,68,1015,327.1
"caovl",10,4,121,565,285.6
"cato",13,4,60,496,207.8
"ceca",8,4,78,299,135.2
"cofl",1,1,70,70,70
"fagr",12,12,57.8,1072,246.3
"fram",1,0,106,106,106
"juni",12,4,155,903,473.4
"litu",209,37,96.2,1422.3,608.5
"nysy",8,4,98.8,434.6,238.2
"pist",8,4,148,452,286.1
"ploc",6,0,446,961.6,727.2
"qual",55,24,147.8,1056,595.7
"qupr",11,4,256,867,591.3
"quru",50,25,123,1531,731.2
"quve",24,5,114,1118.5,707
"ulru",7,0,106.5,246,143.4
NA,NA,NA,NA,NA,NA
"tiam",8,4,142,382,231.6
"Sum",500,152,NA,NA,NA
