"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"acru",7,0,277,715,489.2
"caca",15,14,60,116,79.5
"caco",6,1,193.4,446.7,306.1
"cagl",27,3,66.2,617,288
"caovl",3,0,241.3,552,427.5
"cato",6,0,55.1,993.4,323.2
"ceca",1,0,155.4,155.4,155.4
"cofl",1,1,70,70,70
"fagr",14,13,57.8,1046.8,227.1
"fram",32,0,145.7,1072.1,627.4
"juni",12,1,310.4,903,501.3
"litu",229,43,96.2,1422.3,597.8
"nysy",9,1,89.2,434.6,221.5
"pist",6,0,149.3,452,292.8
"ploc",5,0,576.8,961.6,783.4
"qual",53,33,147.8,1031.9,608.5
"qupr",10,0,256,867,627.4
"quru",51,35,113.5,1483,720.2
"quve",31,0,422.5,1520,819.5
"tiam",2,1,258.5,280.7,269.6
"ulru",3,0,106.5,246,159.5
"Sum",523,146,NA,NA,NA
