"tag","stemtag","survey.ID","YEAR","month","day","biannual","intraannual","SP","quadrat","lx","ly","GAP_WIDTH","codes","notes","status","field.recorders","data.enter","UNIQUE_ID","TREE_ID","dendDiam","ORG_DBH","NEW_BAND","BAND_NUM","type","dir","dendHt","crown.condition","crown.illum","lianas","measureID","SKIP","ADJUST","REMOVE","SITE","DOY"
82203,1,2010.01,2010,1,27,1,1,"litu",822,8,9.35,26.2,"",NA,"alive","Xioli Shen","XS/LS/AP/SS",10045,10045,"610",61.13,1,106,2,NA,1.31,4,4,NA,NA,0,0,0,"SCBI",27
82203,1,2011.01,2011,1,15,1,1,"litu",822,8,9.35,41.1,"","","alive","Jenny McGarvey","JM/LL/CK/LB",10045,10045,NA,61.13,0,106,2,NA,1.31,4,4,NA,NA,0,0,0,"SCBI",15
82203,1,2011.02,2011,5,9,1,1,"litu",822,8,9.35,40.62,"","","alive","TK/CJ/LL","TK/CJ/LL",10045,10045,NA,61.13,0,106,2,NA,1.31,NA,NA,NA,NA,0,0,0,"SCBI",129
82203,1,2011.03,2011,5,13,1,1,"litu",822,8,9.35,40.21,"","","alive","LL/TK","LL/TK",10045,10045,NA,61.13,0,106,2,NA,1.31,NA,NA,NA,NA,0,0,0,"SCBI",133
82203,1,2011.04,2011,5,16,1,1,"litu",822,8,9.35,42.55,"","","alive","TB","TB",10045,10045,NA,61.13,0,106,2,NA,1.31,NA,NA,NA,NA,0,0,0,"SCBI",136
82203,1,2011.05,2011,5,24,1,1,"litu",822,8,9.35,44.03,"","","alive","JM/SM","JM/SM",10045,10045,NA,61.13,0,106,2,NA,1.31,NA,NA,NA,NA,0,0,0,"SCBI",144
82203,1,2011.06,2011,6,6,1,1,"litu",822,8,9.35,47.8,"","","alive","LL/KS","LL/KS",10045,10045,NA,61.13,0,106,2,NA,1.31,NA,NA,NA,NA,0,0,0,"SCBI",157
82203,1,2011.07,2011,6,13,1,1,"litu",822,8,9.35,51.61,"","","alive","LL/MC","LL/MC",10045,10045,NA,61.13,0,106,2,NA,1.31,NA,NA,NA,NA,0,0,0,"SCBI",164
82203,1,2011.08,2011,6,20,1,1,"litu",822,8,9.35,52.78,"","","alive",NA,NA,10045,10045,NA,61.13,0,106,2,NA,1.31,NA,NA,NA,NA,0,0,0,"SCBI",171
82203,1,2011.09,2011,6,27,1,1,"litu",822,8,9.35,53.31,"","","alive",NA,NA,10045,10045,NA,61.13,0,106,2,NA,1.31,NA,NA,NA,NA,0,0,0,"SCBI",178
