tag,stemtag,survey.ID,year,month,day,biannual,intraannual,sp,quadrat,lx,ly,measure,codes,notes,status,field.recorders,data.enter,stemID,treeID,dendDiam,dbh,new.band,dendroID,type,dir,dendHt,crown.condition,crown.illum,lianas,measureID,date,diff_from_previous,survey_ID_correctly_numbered
10469,1,2010.01,2010,1,27,1,0,litu,109,9.7,1,53.4,NA,NA,alive,Xioli Shen,XS/LS/AP/SS,1419,1419,810,810.4,1,1,2,NA,1.4,4,4,NA,NA,2010-01-27,NA,FALSE
192619,1,2011.23,2012,1,17,1,1,quru,1926,12.6,8.5,22.04,NA,"remeasured Jan 17th, 2012",alive,Jennifer McGarvey,Jennifer McGarvey,29017,29017,NA,749.5,0,452,2,NA,1.3,4,4,NA,NA,2012-01-17,0,FALSE
10469,1,2012.01,2012,3,15,1,0,litu,109,9.7,1,102.61,NA,NA,alive,Caroline Johnson,CJ/LC/BB,1419,1419,NA,810.4,0,1,2,NA,1.4,4,4,NA,NA,2012-03-15,0.78,FALSE
202971,1,2012.18,2012,11,29,1,0,fram,2032,5.6,10.2,63.87,NA,NA,alive,Erika Gonzalez,EG/CH,31191,31191,NA,443.2,0,492,2,NA,1.3,NA,NA,NA,NA,2012-11-29,0,FALSE
10469,1,2013.01,2013,3,19,1,0,litu,109,9.7,1,132.87,NA,NA,alive,Erika Gonzalez,Mike Belovitch,1419,1419,841.3,810.4,0,1,2,NA,1.4,4,4,NA,NA,2013-03-19,0.83,FALSE
202971,1,2013.16,2013,10,29,1,0,fram,2032,5.6,10.2,71.94,NA,NA,alive,"Erika, Mike, Amy, Greg","Erika, Mike, Amy, Greg",31191,31191,NA,443.2,0,492,2,NA,1.35,NA,NA,NA,NA,2013-10-29,0,FALSE
10469,1,2014.01,2014,3,24,1,0,litu,109,9.7,1,158.2,NA,Measurement with tape (window too large),alive,Erika Gonzalez,Valentine Herrmann,1419,1419,846.1,838.7999878,0,1,2,NA,1.4,4,4,NA,NA,2014-03-24,0.85,FALSE
202971,1,2014.14,2014,10,27,1,0,fram,2032,5.6,10.2,79.85,NA,NA,alive,Justin Cooper,Maryam Sedaghatpour,31191,31191,NA,455,0,492,2,NA,1.35,NA,NA,NA,NA,2014-10-27,0,FALSE
50288,1,2015.01,2015,3,17,1,0,quru,505,10.8,10.6,146.47,NA,NA,alive,Kent Harlow,Kent Harlow,6176,6176,880,877.7000122,0,40,2,NA,1.34,3,4,NA,NA,2015-03-17,0.87,FALSE
202971,1,2015.13,2015,11,2,1,0,fram,2032,5.6,10.2,91.65,NA,band adjusted,alive,"Maria Wang, Shannon Herrity, Tori Meakem, Elizabeth Dupuis, Gonzalez, Worley, Lauren, Olivia, John","Maria Wang, Shannon Herrity, Tori Meakem, Elizabeth Dupuis, Gonzalez, Worley, Lauren, Olivia, John",31191,31191,NA,455,0,492,2,NA,1.35,NA,NA,NA,NA,2015-11-02,0,FALSE
10469,1,2016.01,2016,4,5,1,0,litu,109,9.7,1,55.01,NA,NA,alive,Erika Gonzalez,Thomas Blair,1419,1419,860,838.7999878,0,632,2,NA,1.4,4,4,NA,NA,2016-04-05,0.88,FALSE
202971,1,2016.15,2016,11,10,1,0,fram,2032,5.6,10.2,92.16,NA,NA,alive,"Kate Aldrich, Sally Bowers",Tori Meakem,31191,31191,NA,455,0,492,2,NA,1.35,NA,NA,NA,NA,2016-11-10,0,FALSE
10469,1,2017.01,2017,4,18,1,0,litu,109,9.7,1,80.9,NA,NA,alive,Valentine Herrmann,Caroline Kittle,1419,1419,NA,838.8,0,632,2,NA,1.4,4,4,NA,NA,2017-04-18,0.86,FALSE
60579,1,2017.03,2017,5,18,1,1,caca,615,16.8,4,NA,NA,NA,dead,Victoria Meakem,Victoria Meakem,7558,7558,NA,76.1,0,581,2,NA,1.32,NA,NA,NA,NA,2017-05-18,0.01,FALSE
60581,1,2017.02,2017,5,18,1,1,litu,615,19.8,9.3,65.88,NA,NA,alive,Victoria Meakem,Victoria Meakem,7560,7560,NA,685.1,0,582,2,NA,1.54,NA,NA,NA,NA,2017-05-18,-0.01,FALSE
60579,1,2017.04,2017,6,2,1,1,caca,615,16.8,4,NA,NA,NA,dead,Ryan Helcoski,Ryan Helcoski,7558,7558,NA,76.1,0,581,2,NA,1.32,NA,NA,NA,NA,2017-06-02,0.01,FALSE
60581,1,2017.03,2017,6,2,1,1,litu,615,19.8,9.3,67.52,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,7560,7560,NA,685.1,0,582,2,NA,1.54,NA,NA,NA,NA,2017-06-02,-0.01,FALSE
60579,1,2017.05,2017,6,21,1,1,caca,615,16.8,4,NA,NA,NA,dead,Abigail Ferson,Abigail Ferson,7558,7558,NA,76.1,0,581,2,NA,1.32,NA,NA,NA,NA,2017-06-21,0.01,FALSE
60581,1,2017.04,2017,6,21,1,1,litu,615,19.8,9.3,70.32,NA,NA,alive,Abigail Ferson,Abigail Ferson,7560,7560,NA,685.1,0,582,2,NA,1.54,NA,NA,NA,NA,2017-06-21,-0.01,FALSE
60579,1,2017.06,2017,6,30,1,1,caca,615,16.8,4,NA,NA,NA,dead,Abigail Ferson,Abigail Ferson,7558,7558,NA,76.1,0,581,2,NA,1.32,NA,NA,NA,NA,2017-06-30,0.01,FALSE
60581,1,2017.05,2017,6,30,1,1,litu,615,19.8,9.3,70.67,NA,NA,alive,Abigail Ferson,Abigail Ferson,7560,7560,NA,685.1,0,582,2,NA,1.54,NA,NA,NA,NA,2017-06-30,-0.01,FALSE
60579,1,2017.07,2017,7,13,1,1,caca,615,16.8,4,NA,NA,NA,dead,Ryan Helcoski,Ryan Helcoski,7558,7558,NA,76.1,0,581,2,NA,1.32,NA,NA,NA,NA,2017-07-13,0.01,FALSE
60581,1,2017.06,2017,7,13,1,1,litu,615,19.8,9.3,71.53,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,7560,7560,NA,685.1,0,582,2,NA,1.54,NA,NA,NA,NA,2017-07-13,-0.01,FALSE
60579,1,2017.08,2017,7,31,1,1,caca,615,16.8,4,NA,NA,NA,dead,Ryan Helcoski,Ryan Helcoski,7558,7558,NA,76.1,0,581,2,NA,1.32,NA,NA,NA,NA,2017-07-31,0.01,FALSE
60581,1,2017.07,2017,7,31,1,1,litu,615,19.8,9.3,74,NA,NA,alive,Ryan Helcoski,Ryan Helcoski,7560,7560,NA,685.1,0,582,2,NA,1.54,NA,NA,NA,NA,2017-07-31,-0.01,FALSE
